Index	Text	POS Modified
13	medium	JJ
14	bowl	NN1
15	combine	VB
16	the	AT
17	shredded	VBN
18	chicken	NN1
19	,	,
20	picante	NN1
21	sauce	NN1
22	and	CC
23	ground	NN1
24	cumin	NN1
25	.	.
26	Mix	VB
27	together	RL
28	.	.
29	In	II
30	a	AT1
31	small	JJ
32	skillet	NN1
33	heat	NN1
34	vegetable	NN1
35	oil	NN1
36	over	II
37	medium	JJ
38	high	JJ
39	heat	NN1
40	.	.
41	Place	VB
42	a	AT1
43	corn	NN1
44	tortilla	NN1
45	in	II
46	the	AT
47	oil	NN1
48	for	IF
49	to	II
50	seconds	NNT2
51	on	II
52	either	DD1
53	side	NN1
54	to	TO
55	soften	VB
56	.	.
57	Repeat	VB
58	with	IW
59	all	DB
60	of	IO
61	the	AT
62	tortillas	NN2
63	(	(
64	if	CS
65	possible	JJ
66	,	,
67	have	VB
68	someone	PN1
69	help	VB
70	you	PPY
71	do	VB
72	this	DD1
73	)	)
74	.	.
75	Place	VB
76	tortillas	NN2
77	on	II
78	paper	NN1
79	towel	NN1
80	to	TO
81	soak	VB
82	up	RP
83	some	DD
84	of	IO
85	the	AT
86	oil	NN1
87	.	.
88	Put	VB
89	tablespoon	NN1
90	of	IO
91	the	AT
92	chicken	NN1
93	mixture	NN1
94	in	II
95	the	AT
96	center	NN1
97	of	IO
98	a	AT1
99	tortilla	NN1
100	and	CC
101	sprinkle	VB
102	some	DD
103	cheese	NN1
104	on	II
105	top	NN1
106	.	.
107	Roll	VB
108	up	RP
109	tortilla	NN1
110	and	CC
111	place	VV0
112	on	II
113	a	AT1
114	lightly	RR
115	greased	VBN
116	cookie	NN1
117	sheet	NN1
118	,	,
119	seam	NN1
120	side	NN1
121	down	RP
122	.	.
123	Repeat	VB
124	with	IW
125	all	DB
126	of	IO
127	the	AT
128	tortillas	NN2
129	until	CS
130	chicken	NN1
131	mixture	NN1
132	is	VBZ
133	gone	VBN
134	.	.
135	If	CS
136	there	EX
137	is	VBZ
138	any	DD
139	cheese	NN1
140	left	VBD
141	over	RP
142	,	,
143	sprinkle	VB
144	it	PPH1
145	over	II
146	the	AT
147	rolled	VBN
148	tortillas	NN2
149	.	.
150	Bake	VB
151	tortillas	NN2
152	in	II
153	the	AT
154	preheated	JJ
155	oven	NN1
156	for	IF
157	to	II
158	minutes	NNT2
159	or	CC
160	until	CS
161	tortillas	NN2
162	are	VBP
163	a	RR21
164	little	RR22
165	crispy	JJ
166	and	CC
167	golden	JJ
168	brown	JJ
169	.	.
1	Spread	VV0
2	cream	NN1
3	cheese	NN1
4	over	II
5	a	AT1
6	meat	NN1
7	slice	NN1
8	to	TO
9	cover	VB
10	.	.
11	Place	VB
12	a	AT1
13	pickle	NN1
14	piece	NN1
15	on	II
16	one	MC1
17	end	NN1
18	,	,
19	and	CC
20	roll	VB
21	the	AT
22	meat	NN1
23	up	RP
24	.	.
25	Repeat	VB
26	with	IW
27	remaining	VBG
28	ingredients	NN2
29	.	.
30	Cut	VB
31	into	II
32	/	FO
33	inch	NNU1
34	pieces	NN2
35	,	,
36	and	CC
37	chill	VB
38	until	CS
39	ready	JJ
40	to	TO
41	serve	VB
42	.	.
1	Mix	VB
2	the	AT
3	dry	JJ
4	ranch	NN1
5	salad	NN1
6	dressing	VBG
7	mix	NN1
8	,	,
9	mayonnaise	VV0
10	,	,
11	and	CC
12	milk	NN1
13	in	II
14	a	AT1
15	bowl	NN1
16	.	.
17	Beat	VV0
18	in	II
19	the	AT
20	cream	NN1
21	cheese	NN1
22	with	IW
23	an	AT1
24	electric	JJ
25	mixer	NN1
26	until	CS
27	smooth	JJ
28	.	.
29	Mix	VB
30	in	II
31	Cheddar	NP1
32	cheese	NN1
33	.	.
34	Cover	VV0
35	bowl	NN1
36	with	IW
37	plastic	NN1
38	wrap	NN1
39	,	,
40	and	CC
41	freeze	VB
42	minutes	NNT2
43	.	.
44	Divide	VB
45	mixture	NN1
46	in	II
47	half	DB
48	,	,
49	and	CC
50	shape	NN1
51	into	II
52	balls	NN2
53	.	.
54	Roll	VB
55	each	DD1
56	ball	NN1
57	in	II
58	almonds	NN2
59	to	TO
60	coat	VB
61	.	.
62	Cover	VV0
63	and	CC
64	refrigerate	VBP
65	balls	NN2
66	until	CS
67	ready	JJ
68	to	TO
69	serve	VB
70	.	.
1	Soak	VB
2	rice	NN1
3	in	II
4	cold	JJ
5	water	NN1
6	,	,
7	and	CC
8	drain	NN1
9	.	.
10	In	II
11	a	AT1
12	large	JJ
13	bowl	NN1
14	,	,
15	mix	VB
16	together	RL
17	the	AT
18	ground	NN1
19	lamb	NN1
20	,	,
21	rice	NN1
22	,	,
23	allspice	VV0
24	,	,
25	salt	NN1
26	and	CC
27	pepper	NN1
28	until	CS
29	well	RR
30	blended	VVN
31	.	.
32	Place	VB
33	about	II
34	tablespoon	NN1
35	of	IO
36	the	AT
37	meat	NN1
38	mixture	NN1
39	onto	II
40	the	AT
41	center	NN1
42	of	IO
43	each	DD1
44	leaf	NN1
45	.	.
46	Fold	VB
47	the	AT
48	leaf	NN1
49	over	RG
50	once	RR
51	,	,
52	turn	VB
53	in	II
54	the	AT
55	edges	NN2
56	on	II
57	each	DD1
58	side	NN1
59	,	,
60	and	CC
61	then	RT
62	roll	VB
63	the	AT
64	leaf	NN1
65	closed	VBD
66	.	.
67	Stack	VB
68	the	AT
69	leaf-rolls	NN2
70	in	II
71	a	AT1
72	large	JJ
73	pot	NN1
74	,	,
75	covering	VBG
76	each	DD1
77	layer	NN1
78	with	IW
79	slices	NN2
80	of	IO
81	garlic	NN1
82	.	.
83	Add	VB
84	just	RR
85	enough	DD
86	water	NN1
87	to	TO
88	cover	VB
89	the	AT
90	rolls	NN2
91	,	,
92	then	RT
93	pour	VB
94	in	II
95	the	AT
96	lemon	NN1
97	juice	NN1
98	.	.
99	Add	VB
100	the	AT
101	olives	NN2
102	to	II
103	the	AT
104	pot	NN1
105	for	IF
106	flavoring	VVG
107	,	,
108	if	CS
109	desired	VBN
110	.	.
111	Place	VB
112	a	AT1
113	plate	NN1
114	on	II31
115	top	II32
116	of	II33
117	the	AT
118	rolls	NN2
119	to	TO
120	keep	VB
121	them	PPHO2
122	under	II
123	water	NN1
124	.	.
125	Bring	VB
126	to	II
127	a	AT1
128	boil	NN1
129	,	,
130	then	RT
131	reduce	VB
132	heat	NN1
133	,	,
134	cover	NN1
135	and	CC
136	simmer	VBP
137	for	IF
138	hour	NNT1
139	and	CC
140	minutes	NNT2
141	.	.
142	Taste	VV0
143	the	AT
144	rice	NN1
145	for	IF
146	doneness	NN1
147	.	.
148	Grape	NN1
149	leaves	VBZ
150	taste	NN1
151	even	RR
152	better	RRR
153	after	II
154	sitting	VBG
155	for	IF
156	several	DA2
157	hours	NNT2
158	.	.
159	Serve	VB
160	and	CC
161	enjoy	VB
162	.	.
1	Pour	VB
2	the	AT
3	beet	NN1
4	juice	NN1
5	into	II
6	a	AT1
7	medium-size	JJ
8	pot	NN1
9	.	.
10	Stir	VB
11	in	II
12	the	AT
13	brown	JJ
14	sugar	NN1
15	,	,
16	vinegar	NN1
17	,	,
18	water	NN1
19	,	,
20	salt	NN1
21	,	,
22	cloves	NN2
23	,	,
24	and	CC
25	the	AT
26	cinnamon	NN1
27	stick	NN1
28	.	.
29	Place	VB
30	the	AT
31	pot	NN1
32	over	II
33	a	AT1
34	medium	JJ
35	heat	NN1
36	for	IF
37	minutes	NNT2
38	,	,
39	stirring	VBG
40	occasionally	RR
41	.	.
42	Place	VB
43	the	AT
44	beets	NN2
45	into	II
46	the	AT
47	liquid	JJ
48	mixture	NN1
49	and	CC
50	let	VB
51	it	PPH1
52	cook	VB
53	for	IF
54	an	AT1
55	additional	JJ
56	minutes	NNT2
57	to	TO
58	allow	VB
59	the	AT
60	beets	NN2
61	to	TO
62	heat	VB
63	.	.
64	Place	VB
65	the	AT
66	hard	JJ
67	cooked	VBN
68	eggs	NN2
69	(	(
70	with	IW
71	the	AT
72	shells	NN2
73	removed	VBN
74	)	)
75	in	II
76	a	AT1
77	container	NN1
78	with	IW
79	a	AT1
80	tight-fitting	JJ
81	lid	NN1
82	.	.
83	Pour	VB
84	the	AT
85	liquid	NN1
86	and	CC
87	beets	NN2
88	into	II
89	the	AT
90	container	NN1
91	with	IW
92	the	AT
93	eggs	NN2
94	.	.
95	Store	VV0
96	the	AT
97	container	NN1
98	in	II
99	the	AT
100	refrigerator	NN1
101	for	IF
102	approximately	RR
103	days	NNT2
104	before	II
105	eating	VBG
106	.	.
1	Preheat	VV0
2	oven	NN1
3	to	II
4	degrees	NN2
5	F	ZZ1
6	(	(
7	degrees	NN2
8	C	ZZ1
9	)	)
10	.	.
11	Line	VV0
12	a	AT1
13	baking	NN1
14	sheet	NN1
15	with	IW
16	parchment	NN1
17	paper	NN1
18	.	.
19	Beat	VV0
20	egg	NN1
21	whites	NN2
22	and	CC
23	vanilla	NN1
24	extract	NN1
25	in	II
26	a	AT1
27	large	JJ
28	bowl	NN1
29	;	;
30	add	VB
31	almonds	NN2
32	and	CC
33	toss	VB
34	to	TO
35	coat	VVI
36	.	.
37	Stir	VB
38	brown	JJ
39	sugar	NN1
40	,	,
41	white	JJ
42	sugar	NN1
43	,	,
44	cinnamon	NN1
45	,	,
46	and	CC
47	salt	NN1
48	into	II
49	almonds	NN2
50	until	CS
51	blended	VBN
52	.	.
53	Spread	VV0
54	almond	NN1
55	mixture	NN1
56	into	II
57	prepared	JJ
58	baking	NN1
59	dish	NN1
60	.	.
61	Bake	VB
62	in	II
63	preheated	JJ
64	oven	NN1
65	,	,
66	stirring	VBG
67	every	AT1
68	minutes	NNT2
69	,	,
70	until	CS
71	coating	NN1
72	is	VBZ
73	dry	JJ
74	,	,
75	about	II
76	minutes	NNT2
77	.	.
1	Stir	VB
2	the	AT
3	corn	NN1
4	,	,
5	orange	JJ
6	bell	NN1
7	pepper	NN1
8	,	,
9	jalapeno	NN1
10	pepper	NN1
11	,	,
12	red	JJ
13	onion	NN1
14	,	,
15	cilantro	NN1
16	,	,
17	lime	NN1
18	juice	NN1
19	,	,
20	crushed	VBN
21	red	JJ
22	pepper	NN1
23	,	,
24	honey	NN1
25	,	,
26	salt	NN1
27	,	,
28	and	CC
29	pepper	NN1
30	together	RL
31	in	II
32	a	AT1
33	bowl	NN1
34	.	.
35	Chill	NN1
36	until	CS
37	ready	JJ
38	to	TO
39	serve	VB
40	.	.
1	In	II
2	a	AT1
3	large	JJ
4	bowl	NN1
5	,	,
6	mix	VB
7	chicken	NN1
8	,	,
9	cabbage	NN1
10	,	,
11	carrots	NN2
12	,	,
13	green	JJ
14	onions	NN2
15	,	,
16	green	JJ
17	beans	NN2
18	,	,
19	green	JJ
20	bell	NN1
21	pepper	NN1
22	and	CC
23	zucchini	NN
24	.	.
25	In	II
26	a	AT1
27	separate	JJ
28	bowl	NN1
29	,	,
30	beat	VBN
31	together	RL
32	eggs	NN2
33	,	,
34	flour	NN1
35	,	,
36	chicken	NN1
37	stock	NN1
38	and	CC
39	soy	JJ
40	sauce	NN1
41	.	.
42	Pour	VB
43	batter	NN1
44	over	II
45	chicken	NN1
46	mixture	NN1
47	and	CC
48	toss	VB
49	to	TO
50	thoroughly	RR
51	coat	VVI
52	.	.
53	Mix	VB
54	vegetable	NN1
55	oil	NN1
56	and	CC
57	sesame	VV0
58	oil	NN1
59	in	II
60	a	AT1
61	skillet	NN1
62	over	II
63	medium	JJ
64	heat	NN1
65	.	.
66	Scoop	VB
67	about	II
68	/	FO
69	cup	NN1
70	batter	NN1
71	into	II
72	skillet	NN1
73	,	,
74	enough	RR
75	to	TO
76	make	VB
77	a	AT1
78	/	FO
79	inch	NNU1
80	circle	NN1
81	.	.
82	Cover	VV0
83	and	CC
84	cook	VB
85	minutes	NNT2
86	,	,
87	or	CC
88	until	CS
89	bottom	NN1
90	is	VBZ
91	golden	JJ
92	brown	JJ
93	.	.
94	Flip	VB
95	and	CC
96	continue	VB
97	cooking	VBG
98	minutes	NNT2
99	,	,
100	or	CC
101	until	CS
102	cooked	VBN
103	through	RP
104	.	.
105	Drain	VB
106	on	II
107	paper	NN1
108	towels	NN2
109	.	.
1	In	II
2	a	AT1
3	large	JJ
4	skillet	NN1
5	over	II
6	medium	JJ
7	high	JJ
8	heat	NN1
9	,	,
10	fry	VV0
11	pork	NN1
12	sausage	NN1
13	and	CC
14	onion	NN1
15	until	CS
16	sausage	NN1
17	is	VBZ
18	evenly	RR
19	brown	JJ
20	and	CC
21	onion	NN1
22	is	VBZ
23	soft	JJ
24	,	,
25	about	II
26	minutes	NNT2
27	.	.
28	Drain	VB
29	and	CC
30	allow	VB
31	to	TO
32	cool	VB
33	slightly	RR
34	.	.
35	Crumble	VB
36	sausage	NN1
37	mixture	NN1
38	into	II
39	a	AT1
40	large	JJ
41	bowl	NN1
42	and	CC
43	add	VB
44	drained	VBN
45	sauerkraut	NN1
46	,	,
47	mustard	NN1
48	,	,
49	garlic	NN1
50	salt	NN1
51	,	,
52	pepper	NN1
53	and	CC
54	tablespoons	NN2
55	bread	NN1
56	crumbs	NN2
57	.	.
58	Combine	VB
59	cream	NN1
60	cheese	NN1
61	and	CC
62	parsley	NN1
63	,	,
64	and	CC
65	mix	VB
66	into	II
67	sauerkraut	NN1
68	mixture	NN1
69	.	.
70	Refrigerate	VB
71	for	IF
72	hour	NNT1
73	.	.
74	Heat	VB
75	oil	NN1
76	in	II
77	deep-fryer	NN1
78	to	II
79	degrees	NN2
80	F	ZZ1
81	(	(
82	degrees	NN2
83	C	ZZ1
84	)	)
85	.	.
86	Shape	NN1
87	sauerkraut	NN1
88	mixture	NN1
89	into	II
90	/	FO
91	inch	NNU1
92	balls	NN2
93	.	.
94	Coat	VB
95	balls	NN2
96	with	IW
97	flour	NN1
98	.	.
99	In	II
100	a	AT1
101	small	JJ
102	bowl	NN1
103	,	,
104	whisk	VB
105	together	RL
106	egg	NN1
107	and	CC
108	milk	NN1
109	.	.
110	Dip	VB
111	floured	JJ
112	balls	NN2
113	in	II
114	egg	NN1
115	mixture	NN1
116	and	CC
117	then	RT
118	roll	VB
119	in	II
120	remaining	VBG
121	bread	NN1
122	crumbs	NN2
123	.	.
124	Deep	RR
125	fry	VV0
126	in	II
127	batches	NN2
128	for	IF
129	to	II
130	minutes	NNT2
131	or	CC
132	until	CS
133	golden	JJ
134	brown	JJ
135	.	.
136	Drain	VB
137	on	II
138	paper	NN1
139	towels	NN2
140	and	CC
141	serve	VB
142	hot	JJ
143	.	.
1	Cook	VB
2	and	CC
3	stir	VB
4	the	AT
5	ground	NN1
6	beef	NN1
7	and	CC
8	onion	NN1
9	in	II
10	a	AT1
11	skillet	NN1
12	over	II
13	medium	JJ
14	heat	NN1
15	,	,
16	breaking	VBG
17	the	AT
18	meat	NN1
19	up	RP
20	into	II
21	crumbles	VBZ
22	as	CSA
23	it	PPH1
24	cooks	VVZ
25	,	,
26	until	CS
27	the	AT
28	meat	NN1
29	is	VBZ
30	well	RR
31	browned	VBN
32	,	,
33	about	II
34	minutes	NNT2
35	.	.
36	Drain	VB
37	the	AT
38	fat	NN1
39	from	II
40	the	AT
41	beef	NN1
42	in	II
43	a	AT1
44	colander	NN1
45	.	.
46	Return	VB
47	beef	NN1
48	to	II
49	skillet	NN1
50	,	,
51	and	CC
52	stir	VV0
53	in	II
54	sour	JJ
55	cream	NN1
56	,	,
57	ketchup	NN1
58	,	,
59	salt	NN1
60	,	,
61	and	CC
62	garlic	NN1
63	powder	NN1
64	.	.
65	Bring	VB
66	the	AT
67	mixture	NN1
68	to	II
69	a	AT1
70	simmer	VB
71	,	,
72	reduce	VB
73	heat	NN1
74	,	,
75	and	CC
76	simmer	VB
77	while	CS
78	you	PPY
79	make	VBP
80	the	AT
81	pockets	NN2
82	.	.
83	Preheat	VV0
84	oven	NN1
85	to	II
86	degrees	NN2
87	F	ZZ1
88	(	(
89	degrees	NN2
90	C	ZZ1
91	)	)
92	.	.
93	Unroll	VB
94	the	AT
95	biscuits	NN2
96	on	II
97	a	AT1
98	floured	JJ
99	work	NN1
100	surface	NN1
101	,	,
102	and	CC
103	lightly	RR
104	roll	VB
105	each	DD1
106	biscuit	NN1
107	out	RP
108	to	II
109	a	AT1
110	square	NN1
111	about	RG
112	inches	NNU2
113	on	II
114	a	AT1
115	side	NN1
116	.	.
117	Arrange	VB
118	the	AT
119	squares	NN2
120	on	II
121	a	AT1
122	baking	NN1
123	sheet	NN1
124	.	.
125	Spoon	VB
126	to	II
127	tablespoons	NN2
128	of	IO
129	the	AT
130	beef	NN1
131	mixture	NN1
132	into	II
133	the	AT
134	center	NN1
135	of	IO
136	each	DD1
137	square	NN1
138	,	,
139	and	CC
140	fold	VB
141	a	AT1
142	corner	NN1
143	over	RP
144	to	TO
145	meet	VB
146	its	APPGE
147	opposite	JJ
148	corner	NN1
149	,	,
150	making	VBG
151	a	AT1
152	triangle	NN1
153	.	.
154	Seal	VB
155	the	AT
156	edges	NN2
157	with	IW
158	a	AT1
159	fork	NN1
160	,	,
161	and	CC
162	cut	VBD
163	three	MC
164	small	JJ
165	slits	NN2
166	into	II
167	the	AT
168	top	NN1
169	of	IO
170	each	DD1
171	pocket	NN1
172	.	.
173	Bake	VB
174	in	II
175	the	AT
176	preheated	JJ
177	oven	NN1
178	until	CS
179	golden	JJ
180	brown	JJ
181	,	,
182	to	II
183	minutes	NNT2
184	.	.
185	Brush	VV0
186	each	DD1
187	pocket	NN1
188	with	IW
189	melted	VBN
190	butter	NN1
191	.	.
1	Preheat	VB
2	your	APPGE
3	ovens	NN2
4	broiler	NN1
5	.	.
6	Crumble	VB
7	the	AT
8	sausage	NN1
9	into	II
10	a	AT1
11	large	JJ
12	skillet	NN1
13	over	II
14	medium	JJ
15	heat	NN1
16	.	.
17	Cook	VB
18	and	CC
19	stir	VB
20	until	CS
21	no	RR21
22	longer	RR22
23	pink	JJ
24	;	;
25	drain	VV0
26	.	.
27	Arrange	VB
28	the	AT
29	tortilla	NN1
30	chips	NN2
31	on	II
32	a	AT1
33	baking	NN1
34	sheet	NN1
35	.	.
36	Top	NN1
37	with	IW
38	sausage	NN1
39	,	,
40	pepperoni	NN1
41	,	,
42	mozzarella	NN1
43	cheese	NN1
44	,	,
45	and	CC
46	banana	NN1
47	peppers	NN2
48	.	.
49	Place	VB
50	nachos	NN2
51	under	II
52	the	AT
53	preheated	JJ
54	broiler	NN1
55	until	CS
56	the	AT
57	cheese	NN1
58	is	VBZ
59	melted	VBN
60	,	,
61	to	II
62	minutes	NNT2
63	.	.
64	Serve	VB
65	with	IW
66	pizza	NN1
67	sauce	NN1
68	for	IF
69	dipping	NN1
70	.	.
1	Mix	VB
2	together	RL
3	ranch	NN1
4	dressing	VBG
5	mix	NN1
6	,	,
7	garlic	NN1
8	powder	NN1
9	,	,
10	dill	NN1
11	and	CC
12	vegetable	NN1
13	oil	NN1
14	.	.
15	Add	VB
16	crackers	NN2
17	and	CC
18	mix	VV0
19	gently	RR
20	until	CS
21	the	AT
22	crackers	NN2
23	are	VBP
24	coated	VBN
25	with	IW
26	the	AT
27	mixture	NN1
28	.	.
29	Stir	VB
30	every	AT1
31	minutes	NNT2
32	for	IF
33	hour	NNT1
34	.	.
35	Store	NN1
36	in	II
37	an	AT1
38	airtight	JJ
39	jar	NN1
40	.	.
1	Bring	VB
2	a	AT1
3	large	JJ
4	pot	NN1
5	of	IO
6	lightly	RR
7	salted	VBN
8	water	NN1
9	to	II
10	a	AT1
11	boil	NN1
12	.	.
13	Cook	VB
14	spaghetti	NN1
15	in	II
16	the	AT
17	boiling	JJ
18	water	NN1
19	,	,
20	stirring	VBG
21	occasionally	RR
22	until	CS
23	cooked	VBN
24	through	RP
25	but	CCB
26	firm	JJ
27	to	II
28	the	AT
29	bite	NN1
30	,	,
31	about	II
32	minutes	NNT2
33	.	.
34	Drain	VB
35	and	CC
36	toss	VB
37	in	II
38	a	AT1
39	bowl	NN1
40	with	IW
41	olive	JJ
42	oil	NN1
43	;	;
44	refrigerate	VB
45	until	CS
46	cooled	VBN
47	,	,
48	about	II
49	minutes	NNT2
50	.	.
51	Preheat	VV0
52	oven	NN1
53	to	II
54	degrees	NN2
55	F	ZZ1
56	(	(
57	degrees	NN2
58	C	ZZ1
59	)	)
60	.	.
61	Spray	VV0
62	muffin	NN1
63	cups	VVZ
64	with	IW
65	cooking	VVG
66	spray	NN1
67	.	.
68	Toss	VB
69	cooled	VBN
70	spaghetti	NN1
71	with	IW
72	cup	NN1
73	Parmesan	NN1
74	cheese	NN1
75	.	.
76	Divide	VB
77	spaghetti	NN1
78	between	II
79	the	AT
80	prepared	JJ
81	muffin	NN1
82	cups	NN2
83	,	,
84	arranging	VBG
85	noodles	NN2
86	in	II
87	each	DD1
88	cup	NN1
89	to	TO
90	create	VB
91	nests	NN2
92	for	IF
93	the	AT
94	meatballs	NN2
95	.	.
96	Top	VV0
97	each	DD1
98	nest	NN1
99	with	IW
