Index	Text	Lemma	POS	Semantics
56	paper	paper	NN1	['Q4.2c', 'O1.1', 'Q1.2', 'P1/Q1.2', 'H5']
57	on	on	II	['Z5']
58	a	a	AT1	['Z5']
59	flat	flat	JJ	['O4.4', 'O3', 'O4.1', 'K2', 'A5.3+']
60	surface	surface	NN1	['M6', 'O2', 'A10+']
61	.	.	.	['PUNCT']
62	Sprinkle	sprinkle	VB	['A1.1.1']
63	with	with	IW	['Z5']
64	walnuts	walnut	NN2	['F1']
65	.	.	.	['PUNCT']
66	Roll	roll	VB	['M1', 'M2', 'A1.1.1']
67	the	the	AT	['Z5']
68	cheese	cheese	NN1	['F1']
69	ball	ball	NN1	['O2/O4.4', 'K5.1', 'B1', 'K1']
70	in	in	II	['Z5']
71	the	the	AT	['Z5']
72	walnuts	walnut	NN2	['F1']
73	until	until	CS	['Z5']
74	completely	completely	RR	['A13.2']
75	covered	cover	VBN	['A10-', 'M1', 'N3.6', 'S8+', 'I1.1', 'A1.8+', 'N5', 'Q2.1', 'A1.1.1']
76	.	.	.	['PUNCT']
77	Transfer	transfer	VV0	['M6/A2.1+', 'A9-', 'I3.1/A2.1+', 'Y2', 'M3', 'M4', 'M5']
78	the	the	AT	['Z5']
79	cheese	cheese	NN1	['F1']
80	ball	ball	NN1	['O2/O4.4', 'K5.1', 'B1', 'K1']
81	to	to	II	['Z5']
82	a	a	AT1	['Z5']
83	serving	serve	VBG	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
84	plate	plate	NN1	['O2', 'C1', 'B3']
85	,	,	,	['PUNCT']
86	or	or	CC	['Z5']
87	rewrap	rewrap	VV0	['Z99']
88	with	with	IW	['Z5']
89	waxed	wax	VBN	['A1.1.1', 'N3.2+/A2.1', 'A2.1+', 'B4']
90	paper	paper	NN1	['Q4.2c', 'O1.1', 'Q1.2', 'P1/Q1.2', 'H5']
91	and	and	CC	['Z5']
92	refrigerate	refrigerate	VB	['Z99']
93	until	until	CS	['Z5']
94	needed	need	VBN	['S6+']
95	.	.	.	['PUNCT']
1	Preheat	preheat	VV0	['Z99']
2	oven	oven	NN1	['O2/F1']
3	to	to	II	['Z5']
4	degrees	degree	NN2	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
5	F	F	ZZ1	['Z5']
6	(	(	(	['PUNCT']
7	degrees	degree	NN2	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
8	C	C	ZZ1	['Z5', 'K2', 'P1/A5.1', 'Y2', 'O4.6']
9	)	)	)	['PUNCT']
10	.	.	.	['PUNCT']
11	In	in	II	['Z5']
12	a	a	AT1	['Z5']
13	shallow	shallow	JJ	['N3.7-', 'A11.1-', 'A5.4-/S1.2.1+', 'A4.2-']
14	baking	baking	NN1	['F1/O2']
15	dish	dish	NN1	['F1/O2']
16	combine	combine	VB	['A2.2', 'A1.8+', 'S5+c', 'F4']
17	the	the	AT	['Z5']
18	artichoke	artichoke	NN1	['T1.3']
19	hearts	heart	NN2	['T1.3']
20	,	,	,	['PUNCT']
21	mozzarella	mozzarella	NN1	['F1']
22	cheese	cheese	NN1	['F1']
23	,	,	,	['PUNCT']
24	parmesan	parmesan	JJ	['Z99']
25	cheese	cheese	NN1	['T1.3']
26	and	and	CC	['T1.3']
27	mayonnaise	mayonnaise	NN1	['T1.3']
28	.	.	.	['PUNCT']
29	Bake	Bake	VB	['F1', 'O4.6']
30	for	for	IF	['Z5']
31	minutes	minute	NNT2	['T1.3', 'Q1.2']
32	,	,	,	['PUNCT']
33	or	or	CC	['Z5']
34	until	until	CS	['Z5']
35	hot	hot	JJ	['O4.6+', 'X9.1+', 'O4.2+', 'X5.2+', 'G2.1-', 'A12-', 'S7.3+', 'E6-', 'A7+++']
36	and	and	CC	['Z5']
37	bubbly	bubbly	JJ	['F2']
38	.	.	.	['PUNCT']
39	Sprinkle	sprinkle	VB	['A1.1.1']
40	with	with	IW	['Z5']
41	almonds	almond	NN2	['L3', 'F1/L3']
42	if	if	CS	['Z7']
43	desired	desire	VBN	['X7+', 'S3.2']
44	.	.	.	['PUNCT']
45	Serve	serve	VB	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
46	hot	hot	JJ	['O4.6+', 'X9.1+', 'O4.2+', 'X5.2+', 'G2.1-', 'A12-', 'S7.3+', 'E6-', 'A7+++']
47	with	with	IW	['Z5']
48	tortilla	tortilla	NN1	['F1']
49	chips	chip	NN2	['F1', 'Y2', 'O2', 'A1.1.2', 'K5.2/I1']
50	or	or	CC	['Z5']
51	crackers	cracker	NN2	['F1', 'O2']
52	.	.	.	['PUNCT']
1	Bring	bring	VB	['M2', 'A2.2']
2	a	a	AT1	['Z5']
3	small	small	JJ	['N3.2-', 'N3.7-', 'N5-', 'T3-', 'A11.1-', 'S5-/I2.1', 'X3.2-', 'A5.1-']
4	saucepan	saucepan	NN1	['O2']
5	of	of	IO	['Z5']
6	water	water	NN1	['O1.2', 'W3/M4', 'B1', 'C1%']
7	to	to	TO	['Z5']
8	boil	boil	VB	['O4.6+', 'E3-']
9	.	.	.	['PUNCT']
10	Turn	turn	VB	['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']
11	off	off	RP	['Z5', 'E2-']
12	heat	heat	NN1	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
13	.	.	.	['PUNCT']
14	Place	Place	VB	['T1.3']
15	sun-dried	sun dry	VBN	['T1.3', 'O1.2-']
18	tomatoes	tomato	NN2	['F1']
19	in	in	II	['Z5']
20	the	the	AT	['Z5']
21	water	water	NN1	['O1.2', 'W3/M4', 'B1', 'C1%']
22	and	and	CC	['Z5']
23	cover	cover	VV0	['A10-', 'M1', 'N3.6', 'S8+', 'I1.1', 'A1.8+', 'N5', 'Q2.1', 'A1.1.1']
24	for	for	IF	['Z5']
25	minutes	minute	NNT2	['T1.3', 'Q1.2']
26	.	.	.	['PUNCT']
27	Drain	drain	VV0	['B4/H2']
28	and	and	CC	['Z5']
29	finely	finely	RR	['A5.1+', 'O4.5']
30	chop	chop	VB	['A1.1.1', 'N5-/A2.1']
31	.	.	.	['PUNCT']
32	In	in	II	['Z5']
33	a	a	AT1	['Z5']
34	medium	medium	JJ	['N3.2', 'N3.1']
35	bowl	bowl	NN1	['O2']
36	,	,	,	['PUNCT']
37	mix	mix	VV0	['A2.1+', 'S1.1.3+', 'K3']
38	cream	cream	NN1	['F1']
39	cheese	cheese	NN1	['F1']
40	and	and	CC	['Z5']
41	garlic	garlic	NN1	['F1', 'L3']
42	.	.	.	['PUNCT']
43	Line	line	VV0	['O4.4', 'A4.1', 'Q1.3', 'X4.2', 'Q3', 'Q1.2', 'Q2.1/K4', 'S4', 'S7.1', 'A1.7+', 'A6.1-', 'I3.1', 'M4@c', 'G3@', 'K5.1@']
44	a	a	AT1	['Z5']
45	medium	medium	JJ	['N3.2', 'N3.1']
46	bowl	bowl	NN1	['O2']
47	or	or	CC	['Z5']
48	loaf	loaf	VV0	['F1']
49	pan	pan	NN1	['O2']
50	with	with	IW	['Z5']
51	a	a	AT1	['Z5']
52	large	large	JJ	['N3.2+', 'N5+', 'A11.1+']
53	piece	piece	NN1	['N5.1-', 'O2', 'Q4', 'K2', 'K4', 'G3@']
54	of	of	IO	['Z5']
55	dampened	dampened	VBN	['Z99']
56	cheese	cheese	NN1	['F1']
57	cloth	cloth	NN1	['B5', 'O2', 'S9/S5+']
58	.	.	.	['PUNCT']
59	Layer	layer	NN1	['O2', 'A4.1']
60	with	with	IW	['Z5']
61	/	/	FO	['Z99']
62	of	of	IO	['Z5']
63	the	the	AT	['Z5']
64	provolone	provolone	NN1	['Z99']
65	cheese	cheese	NN1	['F1']
66	.	.	.	['PUNCT']
67	Spread	spread	VV0	['A1.1.1', 'N3.6+/A2.1', 'N3.3+/A2.1', 'N5+/A2.1', 'N5', 'T1.3']
68	with	with	IW	['Z5']
69	/	/	FO	['PUNCT']
70	the	the	AT	['Z5']
71	pesto	pesto	NN1	['Z99']
72	.	.	.	['PUNCT']
73	Pour	pour	VB	['A1.1.1/O1.2', 'W4', 'M1/N5+']
74	in	in	II	['Z5']
75	/	/	FO	['Z99']
76	the	the	AT	['Z5']
77	cream	cream	NN1	['F1']
78	cheese	cheese	NN1	['F1']
79	and	and	CC	['Z5']
80	garlic	garlic	NN1	['F1', 'L3']
81	mixture	mixture	NN1	['O1.1', 'A6.3+']
82	.	.	.	['PUNCT']
83	Layer	layer	NN1	['O2', 'A4.1']
84	with	with	IW	['Z5']
85	/	/	FO	['Z99']
86	the	the	AT	['Z5']
87	sun-dried	sun dry	VBN	['W1', 'W2', 'W4', 'O1.2-']
90	tomatoes	tomato	NN2	['F1']
91	.	.	.	['PUNCT']
92	Layer	layer	NN1	['O2', 'A4.1']
93	with	with	IW	['Z5']
94	/	/	FO	['Z99']
95	provolone	provolone	NN1	['Z99']
96	,	,	,	['PUNCT']
97	remaining	remain	VBG	['T2++', 'M8', 'N5.2+']
98	pesto	pesto	NN1	['Z99']
99	,	,	,	['PUNCT']
100	remaining	remain	VBG	['T2++', 'M8', 'N5.2+']
101	cream	cream	NN1	['F1']
102	cheese	cheese	NN1	['F1']
103	and	and	CC	['Z5']
104	garlic	garlic	NN1	['F1', 'L3']
105	mixture	mixture	NN1	['O1.1', 'A6.3+']
106	and	and	CC	['Z5']
107	remaining	remain	VBG	['T2++', 'M8', 'N5.2+']
108	sun-dried	sun dry	VBN	['W1', 'W2', 'W4', 'O1.2-']
111	tomatoes	tomato	NN2	['F1']
112	.	.	.	['PUNCT']
113	Top	top	NN1	['M6', 'N5.1+', 'A11.1+++', 'S7.1+++', 'N4', 'X9.1+++', 'A5.1+++']
114	with	with	IW	['Z5']
115	remaining	remain	VBG	['T2++', 'M8', 'N5.2+']
116	provolone	provolone	NN1	['Z99']
117	cheese	cheese	NN1	['F1']
118	.	.	.	['PUNCT']
119	Pull	pull	VB	['M2', 'A9+', 'M1']
120	cheese	cheese	NN1	['F1']
121	cloth	cloth	NN1	['B5', 'O2', 'S9/S5+']
122	around	around	II	['Z5']
123	the	the	AT	['Z5']
124	layered	layered	JJ	['O4.1']
125	mixture	mixture	NN1	['O1.1', 'A6.3+']
126	and	and	CC	['Z5']
127	gently	gently	RR	['E3+']
128	press	press	VV0	['A1.1.1', 'X8+', 'S7.1+', 'E6-']
129	into	into	II	['Z5']
130	a	a	AT1	['Z5']
131	bowl	bowl	NN1	['O2']
132	to	to	TO	['Z5']
133	mold	mold	VVI	['Z99']
134	and	and	CC	['Z5']
135	remove	remove	VB	['M2']
136	excess	excess	JJ	['N5.2+']
137	oil	oil	NN1	['O1.2', 'C1', 'C1/O1']
138	.	.	.	['PUNCT']
139	Chill	chill	NN1	['O4.6-', 'B2-']
140	in	in	II	['Z5']
141	the	the	AT	['Z5']
142	refrigerator	refrigerator	NN1	['O4.6-/O3']
143	to	to	II	['Z5']
144	hours	hour	NNT2	['T1.3']
145	.	.	.	['PUNCT']
146	Remove	remove	VB	['M2']
147	cheese	cheese	NN1	['F1']
148	cloth	cloth	NN1	['B5', 'O2', 'S9/S5+']
149	and	and	CC	['Z5']
150	turn	turn	VB	['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']
151	upside	upside	RL21	['M6']
152	down	down	RL22	['M6']
153	onto	onto	II	['Z5']
154	a	a	AT1	['Z5']
155	large	large	JJ	['N3.2+', 'N5+', 'A11.1+']
156	dish	dish	NN1	['O2', 'F1', 'Q4.3', 'O4.2+%']
157	to	to	TO	['Z5']
158	serve	serve	VB	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
159	.	.	.	['PUNCT']
1	Mash	mash	VV0	['F1']
2	garlic	garlic	NN1	['F1', 'L3']
3	with	with	IW	['Z5']
4	the	the	AT	['Z5']
5	salt	salt	NN1	['F1', 'O1.1']
6	in	in	II	['Z5']
7	a	a	AT1	['Z5']
8	small	small	JJ	['N3.2-', 'N3.7-', 'N5-', 'T3-', 'A11.1-', 'S5-/I2.1', 'X3.2-', 'A5.1-']
9	bowl	bowl	NN1	['O2']
10	.	.	.	['PUNCT']
11	Place	place	VB	['M7', 'H1', 'A1.2', 'P1']
12	into	into	II	['Z5']
13	a	a	AT1	['Z5']
14	blender	blender	NN1	['O2/F1']
15	or	or	CC	['Z5']
16	food	food	NN1	['O2/F1']
17	processor	processor	NN1	['O2/F1']
18	along	along	II21	['Z5']
19	with	with	II22	['Z5']
20	the	the	AT	['Z5']
21	garbanzo	garbanzo	NN1	['Z99']
22	beans	bean	NN2	['F1']
23	,	,	,	['PUNCT']
24	tahini	tahini	NN1	['Z99']
25	,	,	,	['PUNCT']
26	lemon	lemon	NN1	['F1', 'L3', 'F2', 'O4.3']
27	juice	juice	NN1	['F2', 'O1.2']
28	,	,	,	['PUNCT']
29	honey	honey	NN1	['F1']
30	,	,	,	['PUNCT']
31	and	and	CC	['Z5']
32	enough	enough	DD	['N5+', 'N6+', 'A13.3']
33	water	water	NN1	['O1.2', 'W3/M4', 'B1', 'C1%']
34	to	to	TO	['Z5']
35	cover	cover	VB	['A10-', 'M1', 'N3.6', 'S8+', 'I1.1', 'A1.8+', 'N5', 'Q2.1', 'A1.1.1']
36	the	the	AT	['Z5']
37	beans	bean	NN2	['F1']
38	.	.	.	['PUNCT']
39	Process	process	VV0	['A1.1.1', 'X4.2']
40	until	until	CS	['Z5']
41	smooth	smooth	JJ	['O4.5']
42	.	.	.	['PUNCT']
43	Spoon	spoon	VB	['A1.1.1']
44	into	into	II	['Z5']
45	a	a	AT1	['Z5']
46	serving	serve	VBG	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
47	dish	dish	NN1	['O2', 'F1', 'Q4.3', 'O4.2+%']
48	,	,	,	['PUNCT']
49	and	and	CC	['Z5']
50	drizzle	drizzle	NN1	['W4', 'M2']
51	tablespoons	tablespoon	NN2	['O2/F1']
52	of	of	IO	['Z5']
53	olive	olive	JJ	['F1']
54	oil	oil	NN1	['F1']
55	over	over	II	['N5.2+']
56	the	the	AT	['N5.2+']
57	top	top	NN1	['N5.2+']
58	.	.	.	['PUNCT']
59	Preheat	preheat	VB	['Z99']
60	the	the	AT	['Z5']
61	oven	oven	NN1	['O2/F1']
62	to	to	II	['Z5']
63	degrees	degree	NN2	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
64	F	F	ZZ1	['Z5']
65	(	(	(	['PUNCT']
66	degrees	degree	NN2	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
67	C	C	ZZ1	['Z5', 'K2', 'P1/A5.1', 'Y2', 'O4.6']
68	)	)	)	['PUNCT']
69	.	.	.	['PUNCT']
70	Brush	Brush	VV0	['T1.3']
71	pita	pita	NN1	['T1.3']
72	breads	bread	NN2	['F1', 'I1.1']
73	with	with	IW	['Z5']
74	remaining	remain	VBG	['T2++', 'M8', 'N5.2+']
75	olive	olive	JJ	['F1']
76	oil	oil	NN1	['F1']
77	,	,	,	['PUNCT']
78	and	and	CC	['Z5']
79	cut	cut	VBD	['A1.1.1', 'N5-/A2.1', 'T2-', 'M1', 'Q4.3', 'K5.1', 'B1', 'F3']
80	into	into	II	['Z5']
81	wedges	wedge	NN2	['O2']
82	.	.	.	['PUNCT']
83	Season	season	NNT1	['T1.3']
84	with	with	IW	['Z5']
85	salt	salt	NN1	['F1', 'O1.1']
86	and	and	CC	['Z5']
87	fresh	fresh	JJ	['T3-', 'O4.2+', 'B1', 'W4', 'S1.2.3+']
88	rosemary	rosemary	NN1	['Z99']
89	.	.	.	['PUNCT']
90	Bake	bake	VB	['F1', 'O4.6']
91	for	for	IF	['Z5']
92	minutes	minute	NNT2	['T1.3', 'Q1.2']
93	in	in	II	['Z5']
94	the	the	AT	['Z5']
95	preheated	preheated	JJ	['T1.3']
96	oven	oven	NN1	['T1.3']
97	.	.	.	['PUNCT']
98	Cool	cool	JJ	['O4.6-/A2.1', 'X5.2-/A2.1']
99	,	,	,	['PUNCT']
100	and	and	CC	['Z5']
101	serve	serve	VB	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
102	with	with	IW	['Z5']
103	hummus	hummus	NN1	['Z99']
104	.	.	.	['PUNCT']
1	Preheat	preheat	VV0	['Z99']
2	oven	oven	NN1	['O2/F1']
3	to	to	II	['Z5']
4	degrees	degree	NN2	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
5	F	F	ZZ1	['Z5']
6	(	(	(	['PUNCT']
7	degrees	degree	NN2	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
8	C	C	ZZ1	['Z5', 'K2', 'P1/A5.1', 'Y2', 'O4.6']
9	)	)	)	['PUNCT']
10	.	.	.	['PUNCT']
11	In	in	II	['Z5']
12	a	a	AT1	['Z5']
13	medium	medium	JJ	['N3.2', 'N3.1']
14	bowl	bowl	NN1	['O2']
15	combine	combine	VB	['A2.2', 'A1.8+', 'S5+c', 'F4']
16	the	the	AT	['Z5']
17	shredded	shred	VBN	['A1.1.1']
18	chicken	chicken	NN1	['L2mfn', 'F1', 'E5-/S2mf']
19	,	,	,	['PUNCT']
20	picante	picante	NN1	['Z99']
21	sauce	sauce	NN1	['T1.3']
22	and	and	CC	['T1.3']
23	ground	ground	NN1	['T1.3']
24	cumin	cumin	NN1	['L3']
25	.	.	.	['PUNCT']
26	Mix	mix	VB	['A2.1+', 'S1.1.3+', 'K3']
27	together	together	RL	['S5+', 'T1.1.2', 'M6']
28	.	.	.	['PUNCT']
29	In	in	II	['Z5']
30	a	a	AT1	['Z5']
31	small	small	JJ	['N3.2-', 'N3.7-', 'N5-', 'T3-', 'A11.1-', 'S5-/I2.1', 'X3.2-', 'A5.1-']
32	skillet	skillet	NN1	['Z99']
33	heat	heat	NN1	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
34	vegetable	vegetable	NN1	['F1', 'X9.1-/S2mf']
35	oil	oil	NN1	['O1.2', 'C1', 'C1/O1']
36	over	over	II	['Z5']
37	medium	medium	JJ	['N3.2', 'N3.1']
38	high	high	JJ	['N3.7+', 'N5+', 'A11.1+', 'S7.1+', 'A5.1+', 'T3-', 'X3.2', 'G2.2+', 'E4.1+', 'I1.3+', 'F3', 'O4.2-', 'O4.6+', 'S9']
39	heat	heat	NN1	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
40	.	.	.	['PUNCT']
41	Place	place	VB	['M2', 'X2.2+', 'I3.1', 'Q2.2']
42	a	a	AT1	['Z5']
43	corn	corn	NN1	['F1', 'B2-']
44	tortilla	tortilla	NN1	['F1']
45	in	in	II	['Z5']
46	the	the	AT	['Z5']
47	oil	oil	NN1	['O1.2', 'C1', 'C1/O1']
48	for	for	IF	['Z5']
49	to	to	II	['Z5']
50	seconds	second	NNT2	['P1', 'F1', 'O2/T3+', 'S8+/S2mf', 'T1.3', 'T1.2']
51	on	on	II	['S8+']
52	either	either	DD1	['S8+']
53	side	side	NN1	['S8+']
54	to	to	TO	['Z5']
55	soften	soften	VB	['O4.5', 'A2.1+', 'S1.2.5-', 'S1.2.1+', 'O4.1']
56	.	.	.	['PUNCT']
57	Repeat	repeat	VB	['N6+', 'Q2.1/N6+', 'F1/B1@']
58	with	with	IW	['Z5']
59	all	all	DB	['N5.1+']
60	of	of	IO	['Z5']
61	the	the	AT	['Z5']
62	tortillas	tortilla	NN2	['F1']
63	(	(	(	['PUNCT']
64	if	if	CS	['Z7']
65	possible	possible	JJ	['A7+']
66	,	,	,	['PUNCT']
67	have	have	VB	['A9+', 'Z5', 'A2.2', 'S4']
68	someone	someone	PN1	['Z8mfc']
69	help	help	VB	['A5.4+']
70	you	you	PPY	['A5.4+']
71	do	do	VB	['S1.1.3+', 'A1.1.1']
72	this	this	DD1	['M6', 'Z5', 'Z8']
73	)	)	)	['PUNCT']
74	.	.	.	['PUNCT']
75	Place	Place	VB	['Z1mf', 'Z3c']
76	tortillas	tortillas	NN2	['Z1mf', 'Z3c']
77	on	on	II	['Z5']
78	paper	paper	NN1	['B4/B5']
79	towel	towel	NN1	['B4/B5']
80	to	to	TO	['Z5']
81	soak	soak	VB	['O1.2', 'B4']
82	up	up	RP	['Z5']
83	some	some	DD	['N5', 'Z5']
84	of	of	IO	['Z5']
85	the	the	AT	['Z5']
86	oil	oil	NN1	['O1.2', 'C1', 'C1/O1']
87	.	.	.	['PUNCT']
88	Put	put	VB	['M2', 'Q2.1', 'Q2.2', 'A1.1.1']
89	tablespoon	tablespoon	NN1	['Df/A5.1+++mfnc']
90	of	of	IO	['Df/A5.1+++mfnc']
91	the	the	AT	['Df/A5.1+++mfnc']
92	chicken	chicken	NN1	['Df/A5.1+++mfnc']
93	mixture	mixture	NN1	['O1.1', 'A6.3+']
94	in	in	II	['Z5']
95	the	the	AT	['Z5']
96	center	center	NN1	['M6', 'H1c', 'M7c', 'G1.2c', 'K5.1mfn']
97	of	of	IO	['N6+', 'T1.2']
98	a	a	AT1	['N6+', 'T1.2']
99	tortilla	tortilla	NN1	['N6+', 'T1.2']
100	and	and	CC	['Z5']
101	sprinkle	sprinkle	VB	['A1.1.1']
102	some	some	DD	['N5', 'Z5']
103	cheese	cheese	NN1	['F1']
104	on	on	II	['S7.1+', 'M6', 'N5++']
105	top	top	NN1	['S7.1+', 'M6', 'N5++']
106	.	.	.	['PUNCT']
107	Roll	roll	VB	['M1', 'M2', 'A1.1.1']
108	up	up	RP	['Z5']
109	tortilla	tortilla	NN1	['T1.3']
110	and	and	CC	['T1.3']
111	place	place	VV0	['T1.3']
112	on	on	II	['Z5']
113	a	a	AT1	['Z5']
114	lightly	lightly	RR	['N6-', 'N3.5-', 'E3+', 'N5-', 'A12+']
115	greased	grease	VBN	['A1.1.1', 'F1']
116	cookie	cookie	NN1	['F1']
117	sheet	sheet	NN1	['B5', 'O2', 'Q1.2', 'N5']
118	,	,	,	['PUNCT']
119	seam	seam	NN1	['M7']
120	side	side	NN1	['M7']
121	down	down	RP	['Z5']
122	.	.	.	['PUNCT']
123	Repeat	repeat	VB	['N6+', 'Q2.1/N6+', 'F1/B1@']
124	with	with	IW	['Z5']
125	all	all	DB	['N5.1+']
126	of	of	IO	['Z5']
127	the	the	AT	['Z5']
128	tortillas	tortilla	NN2	['F1']
129	until	until	CS	['Z5']
130	chicken	chicken	NN1	['L2mfn', 'F1', 'E5-/S2mf']
131	mixture	mixture	NN1	['O1.1', 'A6.3+']
132	is	be	VBZ	['A3+', 'Z5']
133	gone	go	VBN	['M1', 'A2.1+', 'A1.1.1', 'A9-', 'A1.8+', 'Q2.1', 'N6+', 'I2.2', 'A1.1.2', 'T2-', 'S3.2', 'A6.3+', 'B2-/X1%', 'B1%']
134	.	.	.	['PUNCT']
135	If	if	CS	['Z7']
136	there	there	EX	['Z5']
137	is	be	VBZ	['A3+', 'Z5']
138	any	any	DD	['N5.1+', 'N5']
139	cheese	cheese	NN1	['F1']
140	left	leave	VBD	['M1', 'M2', 'A1.1.1', 'A1.9', 'A9-', 'N5.2+', 'T2-']
141	over	over	RP	['Z5']
142	,	,	,	['PUNCT']
143	sprinkle	sprinkle	VB	['A5.4+']
144	it	it	PPH1	['A5.4+']
145	over	over	II	['Z5']
146	the	the	AT	['Z5']
147	rolled	roll	VBN	['M1', 'M2', 'A1.1.1']
148	tortillas	tortillas	NN2	['Z99']
149	.	.	.	['PUNCT']
150	Bake	Bake	VB	['Z1mf', 'Z3c']
151	tortillas	tortillas	NN2	['Z1mf', 'Z3c']
152	in	in	II	['Z5']
153	the	the	AT	['Z5']
154	preheated	preheated	JJ	['N4/O4.6+']
155	oven	oven	NN1	['O2/F1']
156	for	for	IF	['Z5']
157	to	to	II	['Z5']
158	minutes	minute	NNT2	['T1.3', 'Q1.2']
159	or	or	CC	['Z5']
160	until	until	CS	['Z5']
161	tortillas	tortilla	NN2	['F1']
162	are	be	VBP	['A3+', 'Z5']
163	a	a	RR21	['Z5']
164	little	little	RR22	['N3.2-', 'T3-', 'N3.7-', 'N3.3-', 'T1.3-', 'A11.1-']
165	crispy	crispy	JJ	['O4.5']
166	and	and	CC	['Z5']
167	golden	golden	JJ	['T1.3']
168	brown	brown	JJ	['T1.3']
169	.	.	.	['PUNCT']
1	Spread	spread	VV0	['A1.1.1', 'N3.6+/A2.1', 'N3.3+/A2.1', 'N5+/A2.1', 'N5', 'T1.3']
2	cream	cream	NN1	['F1']
3	cheese	cheese	NN1	['F1']
4	over	over	II	['Z5']
5	a	a	AT1	['Z5']
6	meat	meat	NN1	['F1', 'A4.2+']
7	slice	slice	NN1	['O2', 'N5.1-']
8	to	to	TO	['Z5']
9	cover	cover	VB	['A10-', 'M1', 'N3.6', 'S8+', 'I1.1', 'A1.8+', 'N5', 'Q2.1', 'A1.1.1']
10	.	.	.	['PUNCT']
11	Place	place	VB	['M2', 'X2.2+', 'I3.1', 'Q2.2']
12	a	a	AT1	['Z5']
13	pickle	pickle	NN1	['F1', 'A12-']
14	piece	piece	NN1	['N5.1-', 'O2', 'Q4', 'K2', 'K4', 'G3@']
15	on	on	II	['Z5']
16	one	one	MC1	['N1', 'T3', 'T1.2']
