Index	Text	POS CLAWS
53	.	.
54	Roll	VV0
55	each	DD1
56	ball	NN1
57	in	II
58	almonds	NN2
59	to	TO
60	coat	VVI
61	.	.
62	Cover	VV0
63	and	CC
64	refrigerate	JJ
65	balls	NN2
66	until	CS
67	ready	JJ
68	to	TO
69	serve	VVI
70	.	.

1	Soak	VV0
2	rice	NN1
3	in	II
4	cold	JJ
5	water	NN1
6	,	,
7	and	CC
8	drain	NN1
9	.	.
10	In	II
11	a	AT1
12	large	JJ
13	bowl	NN1
14	,	,
15	mix	VV0
16	together	RL
17	the	AT
18	ground	NN1
19	lamb	NN1
20	,	,
21	rice	NN1
22	,	,
23	allspice	VV0
24	,	,
25	salt	NN1
26	and	CC
27	pepper	NN1
28	until	CS
29	well	RR
30	blended	VVN
31	.	.
32	Place	VV0
33	about	II
34	tablespoon	NN1
35	of	IO
36	the	AT
37	meat	NN1
38	mixture	NN1
39	onto	II
40	the	AT
41	center	NN1
42	of	IO
43	each	DD1
44	leaf	NN1
45	.	.
46	Fold	VV0
47	the	AT
48	leaf	NN1
49	over	RG
50	once	RR
51	,	,
52	turn	VV0
53	in	II
54	the	AT
55	edges	NN2
56	on	II
57	each	DD1
58	side	NN1
59	,	,
60	and	CC
61	then	RT
62	roll	VV0
63	the	AT
64	leaf	NN1
65	closed	VVD
66	.	.
67	Stack	VV0
68	the	AT
69	leaf-rolls	NN2
70	in	II
71	a	AT1
72	large	JJ
73	pot	NN1
74	,	,
75	covering	VVG
76	each	DD1
77	layer	NN1
78	with	IW
79	slices	NN2
80	of	IO
81	garlic	NN1
82	.	.
83	Add	VV0
84	just	RR
85	enough	DD
86	water	NN1
87	to	TO
88	cover	VVI
89	the	AT
90	rolls	NN2
91	,	,
92	then	RT
93	pour	VV0
94	in	II
95	the	AT
96	lemon	NN1
97	juice	NN1
98	.	.
99	Add	VV0
100	the	AT
101	olives	NN2
102	to	II
103	the	AT
104	pot	NN1
105	for	IF
106	flavoring	VVG
107	,	,
108	if	CS
109	desired	VVN
110	.	.
111	Place	VV0
112	a	AT1
113	plate	NN1
114	on	II31
115	top	II32
116	of	II33
117	the	AT
118	rolls	NN2
119	to	TO
120	keep	VVI
121	them	PPHO2
122	under	II
123	water	NN1
124	.	.
125	Bring	VV0
126	to	II
127	a	AT1
128	boil	NN1
129	,	,
130	then	RT
131	reduce	VV0
132	heat	NN1
133	,	,
134	cover	NN1
135	and	CC
136	simmer	VV0
137	for	IF
138	hour	NNT1
139	and	CC
140	minutes	NNT2
141	.	.
142	Taste	VV0
143	the	AT
144	rice	NN1
145	for	IF
146	doneness	NN1
147	.	.
148	Grape	NN1
149	leaves	VVZ
150	taste	NN1
151	even	RR
152	better	RRR
153	after	II
154	sitting	VVG
155	for	IF
156	several	DA2
157	hours	NNT2
158	.	.
159	Serve	VV0
160	and	CC
161	enjoy	VV0
162	.	.

1	Pour	VV0
2	the	AT
3	beet	NN1
4	juice	NN1
5	into	II
6	a	AT1
7	medium-size	JJ
8	pot	NN1
9	.	.
10	Stir	VV0
11	in	II
12	the	AT
13	brown	JJ
14	sugar	NN1
15	,	,
16	vinegar	NN1
17	,	,
18	water	NN1
19	,	,
20	salt	NN1
21	,	,
22	cloves	NN2
23	,	,
24	and	CC
25	the	AT
26	cinnamon	NN1
27	stick	NN1
28	.	.
29	Place	VV0
30	the	AT
31	pot	NN1
32	over	II
33	a	AT1
34	medium	JJ
35	heat	NN1
36	for	IF
37	minutes	NNT2
38	,	,
39	stirring	VVG
40	occasionally	RR
41	.	.
42	Place	VV0
43	the	AT
44	beets	NN2
45	into	II
46	the	AT
47	liquid	JJ
48	mixture	NN1
49	and	CC
50	let	VV0
51	it	PPH1
52	cook	VVI
53	for	IF
54	an	AT1
55	additional	JJ
56	minutes	NNT2
57	to	TO
58	allow	VVI
59	the	AT
60	beets	NN2
61	to	TO
62	heat	VVI
63	.	.
64	Place	VV0
65	the	AT
66	hard	JJ
67	cooked	JJ
68	eggs	NN2
69	(	(
70	with	IW
71	the	AT
72	shells	NN2
73	removed	VVN
74	)	)
75	in	II
76	a	AT1
77	container	NN1
78	with	IW
79	a	AT1
80	tight-fitting	JJ
81	lid	NN1
82	.	.
83	Pour	VV0
84	the	AT
85	liquid	NN1
86	and	CC
87	beets	NN2
88	into	II
89	the	AT
90	container	NN1
91	with	IW
92	the	AT
93	eggs	NN2
94	.	.
95	Store	VV0
96	the	AT
97	container	NN1
98	in	II
99	the	AT
100	refrigerator	NN1
101	for	IF
102	approximately	RR
103	days	NNT2
104	before	II
105	eating	NN1
106	.	.

1	Preheat	VV0
2	oven	NN1
3	to	II
4	degrees	NN2
5	F	ZZ1
6	(	(
7	degrees	NN2
8	C	ZZ1
9	)	)
10	.	.
11	Line	VV0
12	a	AT1
13	baking	NN1
14	sheet	NN1
15	with	IW
16	parchment	NN1
17	paper	NN1
18	.	.
19	Beat	VV0
20	egg	NN1
21	whites	NN2
22	and	CC
23	vanilla	NN1
24	extract	NN1
25	in	II
26	a	AT1
27	large	JJ
28	bowl	NN1
29	;	;
30	add	VV0
31	almonds	NN2
32	and	CC
33	toss	VV0
34	to	TO
35	coat	VVI
36	.	.
37	Stir	VV0
38	brown	JJ
39	sugar	NN1
40	,	,
41	white	JJ
42	sugar	NN1
43	,	,
44	cinnamon	NN1
45	,	,
46	and	CC
47	salt	NN1
48	into	II
49	almonds	NN2
50	until	CS
51	blended	VVN
52	.	.
53	Spread	VV0
54	almond	NN1
55	mixture	NN1
56	into	II
57	prepared	JJ
58	baking	NN1
59	dish	NN1
60	.	.
61	Bake	VV0
62	in	II
63	preheated	JJ
64	oven	NN1
65	,	,
66	stirring	VVG
67	every	AT1
68	minutes	NNT2
69	,	,
70	until	CS
71	coating	NN1
72	is	VBZ
73	dry	JJ
74	,	,
75	about	II
76	minutes	NNT2
77	.	.

1	Stir	VV0
2	the	AT
3	corn	NN1
4	,	,
5	orange	JJ
6	bell	NN1
7	pepper	NN1
8	,	,
9	jalapeno	NN1
10	pepper	NN1
11	,	,
12	red	JJ
13	onion	NN1
14	,	,
15	cilantro	NN1
16	,	,
17	lime	NN1
18	juice	NN1
19	,	,
20	crushed	VVD
21	red	JJ
22	pepper	NN1
23	,	,
24	honey	NN1
25	,	,
26	salt	NN1
27	,	,
28	and	CC
29	pepper	NN1
30	together	RL
31	in	II
32	a	AT1
33	bowl	NN1
34	.	.
35	Chill	NN1
36	until	CS
37	ready	JJ
38	to	TO
39	serve	VVI
40	.	.

1	In	II
2	a	AT1
3	large	JJ
4	bowl	NN1
5	,	,
6	mix	VV0
7	chicken	NN1
8	,	,
9	cabbage	NN1
10	,	,
11	carrots	NN2
12	,	,
13	green	JJ
14	onions	NN2
15	,	,
16	green	JJ
17	beans	NN2
18	,	,
19	green	JJ
20	bell	NN1
21	pepper	NN1
22	and	CC
23	zucchini	NN
24	.	.
25	In	II
26	a	AT1
27	separate	JJ
28	bowl	NN1
29	,	,
30	beat	VV0
31	together	RL
32	eggs	NN2
33	,	,
34	flour	NN1
35	,	,
36	chicken	NN1
37	stock	NN1
38	and	CC
39	soy	JJ
40	sauce	NN1
41	.	.
42	Pour	VV0
43	batter	NN1
44	over	II
45	chicken	NN1
46	mixture	NN1
47	and	CC
48	toss	VV0
49	to	TO
50	thoroughly	RR
51	coat	VVI
52	.	.
53	Mix	VV0
54	vegetable	NN1
55	oil	NN1
56	and	CC
57	sesame	VV0
58	oil	NN1
59	in	II
60	a	AT1
61	skillet	NN1
62	over	II
63	medium	JJ
64	heat	NN1
65	.	.
66	Scoop	VV0
67	about	II
68	/	FO
69	cup	NN1
70	batter	NN1
71	into	II
72	skillet	NN1
73	,	,
74	enough	RR
75	to	TO
76	make	VVI
77	a	AT1
78	/	FO
79	inch	NNU1
80	circle	NN1
81	.	.
82	Cover	VV0
83	and	CC
84	cook	NN1
85	minutes	NNT2
86	,	,
87	or	CC
88	until	CS
89	bottom	NN1
90	is	VBZ
91	golden	JJ
92	brown	JJ
93	.	.
94	Flip	VV0
95	and	CC
96	continue	VV0
97	cooking	NN1
98	minutes	NNT2
99	,	,
100	or	CC
101	until	CS
102	cooked	VVN
103	through	RP
104	.	.
105	Drain	VV0
106	on	II
107	paper	NN1
108	towels	NN2
109	.	.

1	In	II
2	a	AT1
3	large	JJ
4	skillet	NN1
5	over	II
6	medium	JJ
7	high	JJ
8	heat	NN1
9	,	,
10	fry	VV0
11	pork	NN1
12	sausage	NN1
13	and	CC
14	onion	NN1
15	until	CS
16	sausage	NN1
17	is	VBZ
18	evenly	RR
19	brown	JJ
20	and	CC
21	onion	NN1
22	is	VBZ
23	soft	JJ
24	,	,
25	about	II
26	minutes	NNT2
27	.	.
28	Drain	VV0
29	and	CC
30	allow	VV0
31	to	TO
32	cool	VVI
33	slightly	RR
34	.	.
35	Crumble	VV0
36	sausage	NN1
37	mixture	NN1
38	into	II
39	a	AT1
40	large	JJ
41	bowl	NN1
42	and	CC
43	add	VV0
44	drained	JJ
45	sauerkraut	NN1
46	,	,
47	mustard	NN1
48	,	,
49	garlic	NN1
50	salt	NN1
51	,	,
52	pepper	NN1
53	and	CC
54	tablespoons	NN2
55	bread	NN1
56	crumbs	NN2
57	.	.
58	Combine	VV0
59	cream	NN1
60	cheese	NN1
61	and	CC
62	parsley	NN1
63	,	,
64	and	CC
65	mix	VV0
66	into	II
67	sauerkraut	NN1
68	mixture	NN1
69	.	.
70	Refrigerate	VV0
71	for	IF
72	hour	NNT1
73	.	.
74	Heat	NN1
75	oil	NN1
76	in	II
77	deep-fryer	NN1
78	to	II
79	degrees	NN2
80	F	ZZ1
81	(	(
82	degrees	NN2
83	C	ZZ1
84	)	)
85	.	.
86	Shape	NN1
87	sauerkraut	NN1
88	mixture	NN1
89	into	II
90	/	FO
91	inch	NNU1
92	balls	NN2
93	.	.
94	Coat	NN1
95	balls	NN2
96	with	IW
97	flour	NN1
98	.	.
99	In	II
100	a	AT1
101	small	JJ
102	bowl	NN1
103	,	,
104	whisk	VV0
105	together	RL
106	egg	NN1
107	and	CC
108	milk	NN1
109	.	.
110	Dip	VV0
111	floured	JJ
112	balls	NN2
113	in	II
114	egg	NN1
115	mixture	NN1
116	and	CC
117	then	RT
118	roll	VV0
119	in	II
120	remaining	JJ
121	bread	NN1
122	crumbs	NN2
123	.	.
124	Deep	RR
125	fry	VV0
126	in	II
127	batches	NN2
128	for	IF
129	to	II
130	minutes	NNT2
131	or	CC
132	until	CS
133	golden	JJ
134	brown	JJ
135	.	.
136	Drain	VV0
137	on	II
138	paper	NN1
139	towels	NN2
140	and	CC
141	serve	VV0
142	hot	JJ
143	.	.

1	Cook	NP1
2	and	CC
3	stir	VV0
4	the	AT
5	ground	NN1
6	beef	NN1
7	and	CC
8	onion	NN1
9	in	II
10	a	AT1
11	skillet	NN1
12	over	II
13	medium	JJ
14	heat	NN1
15	,	,
16	breaking	VVG
17	the	AT
18	meat	NN1
19	up	RP
20	into	II
21	crumbles	NN2
22	as	CSA
23	it	PPH1
24	cooks	VVZ
25	,	,
26	until	CS
27	the	AT
28	meat	NN1
29	is	VBZ
30	well	RR
31	browned	VVN
32	,	,
33	about	II
34	minutes	NNT2
35	.	.
36	Drain	VV0
37	the	AT
38	fat	NN1
39	from	II
40	the	AT
41	beef	NN1
42	in	II
43	a	AT1
44	colander	NN1
45	.	.
46	Return	VV0
47	beef	NN1
48	to	II
49	skillet	NN1
50	,	,
51	and	CC
52	stir	VV0
53	in	II
54	sour	JJ
55	cream	NN1
56	,	,
57	ketchup	NN1
58	,	,
59	salt	NN1
60	,	,
61	and	CC
62	garlic	NN1
63	powder	NN1
64	.	.
65	Bring	VV0
66	the	AT
67	mixture	NN1
68	to	II
69	a	AT1
70	simmer	VV0
71	,	,
72	reduce	VV0
73	heat	NN1
74	,	,
75	and	CC
76	simmer	VV0
77	while	CS
78	you	PPY
79	make	VV0
80	the	AT
81	pockets	NN2
82	.	.
83	Preheat	VV0
84	oven	NN1
85	to	II
86	degrees	NN2
87	F	ZZ1
88	(	(
89	degrees	NN2
90	C	ZZ1
91	)	)
92	.	.
93	Unroll	VV0
94	the	AT
95	biscuits	NN2
96	on	II
97	a	AT1
98	floured	JJ
99	work	NN1
100	surface	NN1
101	,	,
102	and	CC
103	lightly	RR
104	roll	VV0
105	each	DD1
106	biscuit	NN1
107	out	RP
108	to	II
109	a	AT1
110	square	NN1
111	about	RG
112	inches	NNU2
113	on	II
114	a	AT1
115	side	NN1
116	.	.
117	Arrange	VV0
118	the	AT
119	squares	NN2
120	on	II
121	a	AT1
122	baking	NN1
123	sheet	NN1
124	.	.
125	Spoon	NN1
126	to	II
127	tablespoons	NN2
128	of	IO
129	the	AT
130	beef	NN1
131	mixture	NN1
132	into	II
133	the	AT
134	center	NN1
135	of	IO
136	each	DD1
137	square	NN1
138	,	,
139	and	CC
140	fold	VV0
141	a	AT1
142	corner	NN1
143	over	RP
144	to	TO
145	meet	VVI
146	its	APPGE
147	opposite	JJ
148	corner	NN1
149	,	,
150	making	VVG
151	a	AT1
152	triangle	NN1
153	.	.
154	Seal	VV0
155	the	AT
156	edges	NN2
157	with	IW
158	a	AT1
159	fork	NN1
160	,	,
161	and	CC
162	cut	VV0
163	three	MC
164	small	JJ
165	slits	NN2
166	into	II
167	the	AT
168	top	NN1
169	of	IO
170	each	DD1
171	pocket	NN1
172	.	.
173	Bake	VV0
174	in	II
175	the	AT
176	preheated	JJ
177	oven	NN1
178	until	CS
179	golden	JJ
180	brown	JJ
181	,	,
182	to	II
183	minutes	NNT2
184	.	.
185	Brush	VV0
186	each	DD1
187	pocket	NN1
188	with	IW
189	melted	JJ
190	butter	NN1
191	.	.

1	Preheat	VV0
2	your	APPGE
3	ovens	NN2
4	broiler	NN1
5	.	.
6	Crumble	VV0
7	the	AT
8	sausage	NN1
9	into	II
10	a	AT1
11	large	JJ
12	skillet	NN1
13	over	II
14	medium	JJ
15	heat	NN1
16	.	.
17	Cook	NP1
18	and	CC
19	stir	VV0
20	until	CS
21	no	RR21
22	longer	RR22
23	pink	JJ
24	;	;
25	drain	VV0
26	.	.
27	Arrange	VV0
28	the	AT
29	tortilla	NN1
30	chips	NN2
31	on	II
32	a	AT1
33	baking	NN1
34	sheet	NN1
35	.	.
36	Top	NN1
37	with	IW
38	sausage	NN1
39	,	,
40	pepperoni	NN1
41	,	,
42	mozzarella	NN1
43	cheese	NN1
44	,	,
45	and	CC
46	banana	NN1
47	peppers	NN2
48	.	.
49	Place	VV0
50	nachos	NN2
51	under	II
52	the	AT
53	preheated	JJ
54	broiler	NN1
55	until	CS
56	the	AT
57	cheese	NN1
58	is	VBZ
59	melted	VVN
60	,	,
61	to	II
62	minutes	NNT2
63	.	.
64	Serve	VV0
65	with	IW
66	pizza	NN1
67	sauce	NN1
68	for	IF
69	dipping	NN1
70	.	.

1	Mix	VV0
2	together	RL
3	ranch	NN1
4	dressing	VVG
5	mix	NN1
6	,	,
7	garlic	NN1
8	powder	NN1
9	,	,
10	dill	NN1
11	and	CC
12	vegetable	NN1
13	oil	NN1
14	.	.
15	Add	VV0
16	crackers	NN2
17	and	CC
18	mix	VV0
19	gently	RR
20	until	CS
21	the	AT
22	crackers	NN2
23	are	VBR
24	coated	VVN
25	with	IW
26	the	AT
27	mixture	NN1
28	.	.
29	Stir	VV0
30	every	AT1
31	minutes	NNT2
32	for	IF
33	hour	NNT1
34	.	.
35	Store	NN1
36	in	II
37	an	AT1
38	airtight	JJ
39	jar	NN1
40	.	.

1	Bring	VV0
2	a	AT1
3	large	JJ
4	pot	NN1
5	of	IO
6	lightly	RR
7	salted	JJ
8	water	NN1
9	to	II
10	a	AT1
11	boil	NN1
12	.	.
13	Cook	NP1
14	spaghetti	NN1
15	in	II
16	the	AT
17	boiling	JJ
18	water	NN1
19	,	,
20	stirring	VVG
21	occasionally	RR
22	until	CS
23	cooked	VVN
24	through	RP
25	but	CCB
26	firm	JJ
27	to	II
28	the	AT
29	bite	NN1
30	,	,
31	about	II
32	minutes	NNT2
33	.	.
34	Drain	VV0
35	and	CC
36	toss	VV0
37	in	II
38	a	AT1
39	bowl	NN1
40	with	IW
41	olive	JJ
42	oil	NN1
43	;	;
44	refrigerate	VV0
45	until	CS
46	cooled	VVN
47	,	,
48	about	II
49	minutes	NNT2
50	.	.
51	Preheat	VV0
52	oven	NN1
53	to	II
54	degrees	NN2
55	F	ZZ1
56	(	(
57	degrees	NN2
58	C	ZZ1
59	)	)
60	.	.
61	Spray	VV0
62	muffin	NN1
63	cups	VVZ
64	with	IW
65	cooking	VVG
66	spray	NN1
67	.	.
68	Toss	VV0
69	cooled	JJ
70	spaghetti	NN1
71	with	IW
72	cup	NN1
73	Parmesan	NN1
74	cheese	NN1
75	.	.
76	Divide	VV0
77	spaghetti	NN1
78	between	II
