Index	Text	POS	MWE start and end index	USAS Tags
22	and	and	CCONJ	['T1.3']
23	ranch	ranch	NOUN	['T1.3']
35	in	in	ADP	['A2.1+']
36	half	half	DET	['A2.1+']
42	half	half	DET	['Df']
43	a	a	DET	['Df']
44	bacon	bacon	NOUN	['Df']
47	each	each	DET	['N6+']
48	chunk	chunk	NOUN	['N6+']
53	secure	secure	VERB	['A5.4+']
54	it	it	PRON	['A5.4+']
81	baking	baking	NOUN	['F1/O2']
82	sheets	sheet	NOUN	['F1/O2']

19	sugar	sugar	NOUN	['T1.3']
20	and	and	CCONJ	['T1.3']
21	water	water	NOUN	['T1.3']
64	baking	baking	NOUN	['F1/O2']
65	sheet	sheet	NOUN	['F1/O2']

17	deep	deep	ADJ	['F1/O2']
18	fryer	fryer	NOUN	['F1/O2']
40	paper	paper	NOUN	['B4/B5']
41	towel	towel	NOUN	['B4/B5']
59	place	place	VERB	['A5.4+']
60	them	they	PRON	['A5.4+']
80	pepper	pepper	NOUN	['F1']
81	sauce	sauce	NOUN	['F1']
99	baking	baking	NOUN	['F1/O2']
100	dish	dish	NOUN	['F1/O2']
115	blue	blue	ADJ	['F1']
116	cheese	cheese	NOUN	['F1']
143	blue	blue	ADJ	['F1']
144	cheese	cheese	NOUN	['F1']
163	blue	blue	ADJ	['F1']
164	cheese	cheese	NOUN	['F1']

22	pepper	pepper	NOUN	['F1']
23	sauce	sauce	NOUN	['F1']
26	salt	salt	NOUN	['T1.3']
27	and	and	CCONJ	['T1.3']
28	pepper	pepper	NOUN	['T1.3']
44	bread	bread	NOUN	['F1']
45	crumbs	crumb	NOUN	['F1']
59	bread	bread	NOUN	['F1']
60	crumbs	crumb	NOUN	['F1']
63	all	all	ADV	['N5.1+']
64	over	over	ADV	['N5.1+']
79	crab	crab	NOUN	['F1']
80	cakes	cake	NOUN	['F1']

3	rice	rice	NOUN	['T1.3']
4	and	and	CCONJ	['T1.3']
5	water	water	NOUN	['T1.3']
46	vinegar	vinegar	NOUN	['T1.3']
47	and	and	CCONJ	['T1.3']
48	salt	salt	NOUN	['T1.3']
71	each	each	DET	['N6+']
72	sheet	sheet	NOUN	['N6+']
94	cream	cream	NOUN	['F1']
95	cheese	cheese	NOUN	['F1']
103	opposite	opposite	NOUN	['Df/A5.1+++mfnc']
104	of	of	ADP	['Df/A5.1+++mfnc']
105	the	the	DET	['Df/A5.1+++mfnc']
106	gap	gap	NOUN	['Df/A5.1+++mfnc']
131	each	each	DET	['N6+']
132	roll	roll	NOUN	['N6+']
141	on	on	ADP	['A10-/N5++']
142	the	the	DET	['A10-/N5++']
143	side	side	NOUN	['A10-/N5++']

6	food	food	NOUN	['O2/F1']
7	processor	processor	NOUN	['O2/F1']

26	bits	bit	NOUN	['T1.3']
27	and	and	CCONJ	['T1.3']
28	cheese	cheese	NOUN	['T1.3']

11	cream	cream	NOUN	['F1']
12	cheese	cheese	NOUN	['F1']

5	cream	cream	NOUN	['F1']
6	cheese	cheese	NOUN	['F1']
8	shrimp	shrimp	NOUN	['F1']
9	soup	soup	NOUN	['F1']
11	Worcestershire	Worcestershire	PROPN	['T1.3']
12	sauce	sauce	NOUN	['T1.3']

22	balsamic	balsamic	ADJ	['F1', 'O1.2']
23	vinegar	vinegar	NOUN	['F1', 'O1.2']

12	popcorn	popcorn	NOUN	['T1.3']
13	and	and	CCONJ	['T1.3']
14	oil	oil	NOUN	['T1.3']
35	top	top	NOUN	['Df/A5.1+++mfnc']
36	of	of	ADP	['Df/A5.1+++mfnc']
37	the	the	DET	['Df/A5.1+++mfnc']
38	bag	bag	NOUN	['Df/A5.1+++mfnc']

17	baking	bake	VERB	['F1/O2']
18	dish	dish	NOUN	['F1/O2']
28	soy	soy	NOUN	['F1']
29	sauce	sauce	NOUN	['F1']
52	soy	soy	NOUN	['F1']
53	sauce	sauce	NOUN	['F1']

33	black	black	ADJ	['F1']
34	pepper	pepper	NOUN	['F1']

29	taco	taco	NOUN	['F1']
30	sauce	sauce	NOUN	['F1']
33	powder	powder	NOUN	['T1.3']
34	and	and	CCONJ	['T1.3']
35	cumin	cumin	NOUN	['T1.3']
43	meat	meat	NOUN	['T1.3']
44	and	and	CCONJ	['T1.3']
45	bean	bean	NOUN	['T1.3']
59	beef	beef	NOUN	['T1.3']
60	and	and	CCONJ	['T1.3']
61	bean	bean	NOUN	['T1.3']
70	olives	olive	NOUN	['T1.3']
71	and	and	CCONJ	['T1.3']
72	peppers	pepper	NOUN	['T1.3']

2	two	two	NUM	['N1']
3	large	large	ADJ	['N1']
59	cream	cream	NOUN	['F1']
60	cheese	cheese	NOUN	['F1']
71	onions	onion	NOUN	['T1.3']
72	and	and	CCONJ	['T1.3']
73	mushroom	mushroom	NOUN	['T1.3']
84	each	each	DET	['N6+']
85	mushroom	mushroom	NOUN	['N6+']
86	cap	cap	NOUN	['T1.3']
87	and	and	CCONJ	['T1.3']
88	place	place	NOUN	['T1.3']
96	baking	baking	NOUN	['F1/O2']
97	pan	pan	NOUN	['F1/O2']
159	golden	golden	PROPN	['Z1mf', 'Z3c']
160	brown	brown	PROPN	['Z1mf', 'Z3c']

5	water	water	NOUN	['T1.3']
6	and	and	CCONJ	['T1.3']
7	place	place	NOUN	['T1.3']
9	baking	bake	VERB	['F1/O2']
10	sheets	sheet	NOUN	['F1/O2']
14	Cajun	Cajun	PROPN	['T1.3']
15	seasoning	seasoning	NOUN	['T1.3']
17	both	both	DET	['N5.1+']
18	sides	side	NOUN	['N5.1+']
37	baking	bake	VERB	['F1/O2']
38	sheets	sheet	NOUN	['F1/O2']
55	Bake	Bake	PROPN	['Z1mf', 'Z3c']
56	chicken	chicken	PROPN	['Z1mf', 'Z3c']
84	blue	blue	ADJ	['F1']
85	cheese	cheese	NOUN	['F1']

11	Combine	Combine	PROPN	['T1.3']
12	turkey	turkey	NOUN	['T1.3']
14	bread	bread	NOUN	['F1']
15	crumbs	crumb	NOUN	['F1']
38	meatballs	meatball	NOUN	['T1.3']
39	and	and	CCONJ	['T1.3']
40	place	place	NOUN	['T1.3']
45	baking	baking	NOUN	['F1/O2']
46	sheet	sheet	NOUN	['F1/O2']
54	no	no	ADV	['T2-']
55	longer	long	ADV	['T2-']
59	center	center	NOUN	['T1.3']
60	and	and	CCONJ	['T1.3']
61	outside	outside	NOUN	['T1.3']

16	baking	baking	NOUN	['F1/O2']
17	dish	dish	NOUN	['F1/O2']
33	Cheddar	Cheddar	PROPN	['T1.3']
34	cheese	cheese	NOUN	['T1.3']
38	baking	bake	VERB	['F1']
39	powder	powder	NOUN	['F1']
54	baking	baking	NOUN	['F1/O2']
55	dish	dish	NOUN	['F1/O2']
60	preheated	preheated	ADJ	['T1.3']
61	oven	oven	PROPN	['T1.3']

58	sugar	sugar	NOUN	['T1.3']
59	and	and	CCONJ	['T1.3']
60	salt	salt	NOUN	['T1.3']
87	inch	inch	NOUN	['Df/A5.1+++mfnc']
88	of	of	ADP	['Df/A5.1+++mfnc']
89	the	the	DET	['Df/A5.1+++mfnc']
90	top	top	NOUN	['Df/A5.1+++mfnc']

4	fish	fish	NOUN	['F1']
5	sauce	sauce	NOUN	['F1']
77	each	each	DET	['N6+']
78	shrimp	shrimp	NOUN	['N6+']
79	in	in	ADP	['A2.1+']
80	half	half	NOUN	['A2.1+']
83	Transfer	transfer	NOUN	['Z2']
84	rice	rice	NOUN	['Z2']
85	vermicelli	vermicelli	PROPN	['Z2']
147	surface	surface	NOUN	['T1.3']
148	and	and	CCONJ	['T1.3']
149	top	top	NOUN	['T1.3']
174	Thai	Thai	PROPN	['T1.3']
175	basil	basil	NOUN	['T1.3']
181	edges	edge	NOUN	['Df/A5.1+++mfnc']
182	of	of	ADP	['Df/A5.1+++mfnc']
183	the	the	DET	['Df/A5.1+++mfnc']
184	wrapper	wrapper	NOUN	['Df/A5.1+++mfnc']
187	ends	end	NOUN	['Df/A5.1+++mfnc']
188	of	of	ADP	['Df/A5.1+++mfnc']
189	the	the	DET	['Df/A5.1+++mfnc']
190	filling	filling	NOUN	['Df/A5.1+++mfnc']
195	spring	spring	NOUN	['F1']
196	roll	roll	NOUN	['F1']
201	wrappers	wrapper	NOUN	['T1.3']
202	and	and	CCONJ	['T1.3']
203	ingredients	ingredient	NOUN	['T1.3']
206	each	each	DET	['N6+']
207	roll	roll	NOUN	['N6+']
208	in	in	ADP	['A2.1+']
209	half	half	NOUN	['A2.1+']
213	dipping	dipping	NOUN	['F1']
214	sauce	sauce	NOUN	['F1']

47	black	black	ADJ	['F1']
48	pepper	pepper	NOUN	['F1']
131	paper	paper	NOUN	['B4/B5']
132	towel	towel	NOUN	['B4/B5']

12	coat	coat	PROPN	['Z1mf', 'T1.3']
13	mini	mini	ADJ	['Z1mf', 'T1.3']
22	olive	olive	NOUN	['F1']
23	oil	oil	NOUN	['F1']
42	golden	golden	PROPN	['Z1mf', 'Z3c']
43	brown	brown	PROPN	['Z1mf', 'Z3c']
57	medium	medium	NOUN	['T1.3']
58	and	and	CCONJ	['T1.3']
59	cook	cook	NOUN	['T1.3']
71	black	black	ADJ	['F1']
72	pepper	pepper	NOUN	['F1']
77	plate	plate	NOUN	['O4.1']
78	lined	line	VERB	['O4.1']
80	paper	paper	NOUN	['B4/B5']
81	towels	towel	NOUN	['B4/B5']
96	muffin	muffin	PROPN	['Z1mf', 'Z3c']
97	cup	cup	PROPN	['Z1mf', 'Z3c']
145	sheet	sheet	NOUN	['T1.3']
146	and	and	CCONJ	['T1.3']
147	top	top	NOUN	['T1.3']
160	golden	golden	ADJ	['T1.3']
161	brown	brown	PROPN	['T1.3']

62	olive	olive	NOUN	['F1']
63	oil	oil	NOUN	['F1']

8	cream	cream	NOUN	['F1']
9	cheese	cheese	NOUN	['F1']
42	cream	cream	NOUN	['F1']
43	cheese	cheese	NOUN	['F1']
58	pecans	pecan	NOUN	['T1.3']
59	and	and	CCONJ	['T1.3']
60	parsley	parsley	NOUN	['T1.3']

13	baking	bake	VERB	['F1/O2']
14	sheet	sheet	NOUN	['F1/O2']
78	black	black	ADJ	['F1']
79	pepper	pepper	NOUN	['F1']
91	egg	egg	NOUN	['T1.3']
92	and	and	CCONJ	['T1.3']
93	whisk	whisk	NOUN	['T1.3']
116	baking	baking	NOUN	['F1/O2']
117	sheet	sheet	NOUN	['F1/O2']

12	baking	bake	VERB	['F1/O2']
13	sheet	sheet	NOUN	['F1/O2']
79	brown	brown	ADJ	['F1']
80	sugar	sugar	NOUN	['F1']
83	cup	cup	PROPN	['T1.3']
84	vegetable	vegetable	NOUN	['T1.3']
100	juice	juice	NOUN	['T1.3']
101	and	and	CCONJ	['T1.3']
102	fish	fish	NOUN	['T1.3']
108	boil	boil	NOUN	['T1.3']
109	and	and	CCONJ	['T1.3']
110	cook	cook	NOUN	['T1.3']
135	baking	bake	VERB	['F1']
136	soda	soda	NOUN	['F1']
139	brown	brown	ADJ	['F1']
140	sugar	sugar	NOUN	['F1']
155	baking	baking	NOUN	['F1/O2']
156	sheet	sheet	NOUN	['F1/O2']

20	at	at	ADP	['T1.1.2']
21	a	a	DET	['T1.1.2']
22	time	time	NOUN	['T1.1.2']

3	food	food	NOUN	['O2/F1']
4	processor	processor	NOUN	['O2/F1']
13	cream	cream	NOUN	['F1']
14	cheese	cheese	NOUN	['F1']
81	at	at	ADV	['A13.7']
82	least	least	ADV	['A13.7']

18	Worcestershire	Worcestershire	PROPN	['T1.3']
19	sauce	sauce	NOUN	['T1.3']
21	soy	soy	NOUN	['F1']
22	sauce	sauce	NOUN	['F1']

12	soy	soy	NOUN	['F1']
13	sauce	sauce	NOUN	['F1']
18	bamboo	bamboo	NOUN	['L3', 'F1']
19	shoots	shoot	NOUN	['L3', 'F1']
35	teaspoon	teaspoon	NOUN	['Df/A5.1+++mfnc']
36	of	of	ADP	['Df/A5.1+++mfnc']
37	the	the	DET	['Df/A5.1+++mfnc']
38	pork	pork	NOUN	['Df/A5.1+++mfnc']
45	wonton	wonton	PROPN	['T1.3']
46	wrapper	wrapper	NOUN	['T1.3']
68	in	in	ADP	['A2.1+']
69	half	half	ADV	['A2.1+']
74	fold	fold	VERB	['M6']
75	back	back	ADV	['M6']
103	wonton	wonton	PROPN	['T1.3']
104	minutes	minute	NOUN	['T1.3']
110	paper	paper	NOUN	['B4/B5']
111	towels	towel	NOUN	['B4/B5']

9	cream	cream	NOUN	['F1']
10	cheese	cheese	NOUN	['F1']
36	at	at	ADV	['A13.7']
37	least	least	ADV	['A13.7']

2	syrup	syrup	NOUN	['T1.3']
3	and	and	CCONJ	['T1.3']
4	peanut	peanut	NOUN	['T1.3']
83	dish	dish	NOUN	['T1.3']
84	and	and	CCONJ	['T1.3']
85	press	press	NOUN	['T1.3']

5	bowl	bowl	NOUN	['T1.3']
6	and	and	CCONJ	['T1.3']
7	whisk	whisk	NOUN	['T1.3']
10	loses	lose	VERB	['A5.4+']
11	its	its	PRON	['A5.4+']
29	food	food	NOUN	['O2/F1']
30	processor	processor	NOUN	['O2/F1']
39	black	black	ADJ	['F1']
40	pepper	pepper	NOUN	['F1']
52	Worcestershire	worcestershire	NOUN	['F1']
53	sauce	sauce	NOUN	['F1']
128	right	right	ADV	['N3.8+']
129	away	away	ADV	['N3.8+']

3	cream	cream	NOUN	['F1']
4	cheese	cheese	NOUN	['F1']
31	cream	cream	NOUN	['F1']
32	cheese	cheese	NOUN	['F1']

22	Romano	Romano	PROPN	['T1.3']
23	cheese	cheese	NOUN	['T1.3']
28	cream	cream	NOUN	['F1']
29	cheese	cheese	NOUN	['F1']

13	teaspoons	teaspoon	NOUN	['Z2', 'Z3c']
14	of	of	ADP	['Z2', 'Z3c']
15	Parmesan	Parmesan	PROPN	['Z2', 'Z3c']
23	sheet	sheet	NOUN	['O4.1']
24	lined	line	VERB	['O4.1']
50	baking	baking	NOUN	['F1/O2']
51	sheet	sheet	NOUN	['F1/O2']
53	keeping	keep	VERB	['A5.4+']
54	them	they	PRON	['A5.4+']
66	golden	golden	ADJ	['T1.3']
67	brown	brown	PROPN	['T1.3']

58	each	each	DET	['N6+']
59	shrimp	shrimp	NOUN	['N6+']
68	half	half	DET	['Df']
69	a	a	DET	['Df']
70	bacon	bacon	NOUN	['Df']

1	Mix	Mix	PROPN	['Z1mf', 'Z3c']
2	Cheddar	Cheddar	PROPN	['Z1mf', 'Z3c']
3	cheese	cheese	NOUN	['T1.3']
4	and	and	CCONJ	['T1.3']
5	flour	flour	NOUN	['T1.3']
48	using	use	VERB	['A5.4+']
49	your	your	PRON	['A5.4+']
53	each	each	DET	['N6+']
54	ball	ball	NOUN	['N6+']
71	golden	golden	ADJ	['T1.3']
72	brown	brown	PROPN	['T1.3']

16	vegetable	vegetable	NOUN	['F1']
17	soup	soup	NOUN	['F1']

9	cream	cream	NOUN	['T1.3']
10	and	and	CCONJ	['T1.3']
11	taco	taco	NOUN	['T1.3']
23	of	of	ADP	['N6+', 'T1.2']
24	a	a	DET	['N6+', 'T1.2']
25	x	x	NOUN	['N6+', 'T1.2']
33	on	on	ADP	['S7.1+', 'M6', 'N5++']
34	top	top	NOUN	['S7.1+', 'M6', 'N5++']
77	dip	dip	NOUN	['T1.3']
78	and	and	CCONJ	['T1.3']
79	onions	onion	NOUN	['T1.3']

7	raisins	raisin	NOUN	['T1.3']
8	and	and	CCONJ	['T1.3']
9	cinnamon	cinnamon	NOUN	['T1.3']
48	food	food	NOUN	['O2/F1']
49	processor	processor	NOUN	['O2/F1']

8	olive	olive	NOUN	['F1']
9	oil	oil	NOUN	['F1']
13	black	black	ADJ	['F1']
14	pepper	pepper	NOUN	['F1']

3	mayonnaise	mayonnaise	NOUN	['T1.3']
4	and	and	CCONJ	['T1.3']
5	garlic	garlic	NOUN	['T1.3']
15	juice	juice	NOUN	['T1.3']
16	and	and	CCONJ	['T1.3']
17	basil	basil	NOUN	['T1.3']
26	Worcestershire	Worcestershire	PROPN	['T1.3']
27	sauce	sauce	NOUN	['T1.3']

27	half	half	NOUN	['Df/A5.1+++mfnc']
28	of	of	ADP	['Df/A5.1+++mfnc']
29	the	the	DET	['Df/A5.1+++mfnc']
30	pepperoni	pepperoni	NOUN	['Df/A5.1+++mfnc']
38	half	half	NOUN	['Df/A5.1+++mfnc']
39	of	of	ADP	['Df/A5.1+++mfnc']
40	the	the	DET	['Df/A5.1+++mfnc']
41	mozzarella	mozzarella	NOUN	['Df/A5.1+++mfnc']
61	third	third	NOUN	['Df/A5.1+++mfnc']
62	of	of	ADP	['Df/A5.1+++mfnc']
63	the	the	DET	['Df/A5.1+++mfnc']
64	dough	dough	NOUN	['Df/A5.1+++mfnc']
75	on	on	ADP	['S7.1+', 'M6', 'N5++']
76	top	top	NOUN	['S7.1+', 'M6', 'N5++']
82	top	top	NOUN	['T1.3']
83	and	and	CCONJ	['T1.3']
84	bottom	bottom	NOUN	['T1.3']
114	baking	baking	NOUN	['F1/O2']
115	sheet	sheet	NOUN	['F1/O2']

41	cream	cream	NOUN	['F1']
42	cheese	cheese	NOUN	['F1']
50	artichoke	artichoke	PROPN	['T1.3']
51	hearts	heart	NOUN	['T1.3']

7	cream	cream	NOUN	['F1']
8	cheese	cheese	NOUN	['F1']
20	chives	chive	NOUN	['T1.3']
21	and	and	CCONJ	['T1.3']
22	salt	salt	NOUN	['T1.3']

8	cream	cream	NOUN	['F1']
9	cheese	cheese	NOUN	['F1']
23	Cover	cover	NOUN	['T1.3']
24	and	and	CCONJ	['T1.3']
