Index	Text	Lemma	POS	USAS Tags
75	covered	cover	VERB	['A10-', 'M1', 'N3.6', 'S8+', 'I1.1', 'A1.8+', 'N5', 'Q2.1', 'A1.1.1']
76	.	.	PUNCT	['PUNCT']
77	Transfer	transfer	VERB	['M6/A2.1+', 'A9-', 'I3.1/A2.1+', 'Y2', 'M3', 'M4', 'M5']
78	the	the	DET	['Z5']
79	cheese	cheese	NOUN	['F1']
80	ball	ball	NOUN	['O2/O4.4', 'K5.1', 'B1', 'K1']
81	to	to	ADP	['Z5']
82	a	a	DET	['Z5']
83	serving	serve	VERB	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
84	plate	plate	NOUN	['O2', 'C1', 'B3']
85	,	,	PUNCT	['PUNCT']
86	or	or	CCONJ	['Z5']
87	rewrap	rewrap	VERB	['Z99']
88	with	with	ADP	['Z5']
89	waxed	wax	VERB	['A1.1.1', 'N3.2+/A2.1', 'A2.1+', 'B4']
90	paper	paper	NOUN	['Q4.2c', 'O1.1', 'Q1.2', 'P1/Q1.2', 'H5']
91	and	and	CCONJ	['Z5']
92	refrigerate	refrigerate	VERB	['Z99']
93	until	until	ADP	['Z5']
94	needed	need	VERB	['S6+']
95	.	.	PUNCT	['PUNCT']

1	Preheat	preheat	NOUN	['Z99']
2	oven	oven	VERB	['O2/F1']
3	to	to	PART	['Z5']
4	degrees	degree	NOUN	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
5	F	F	PROPN	['Z5']
6	(	(	PUNCT	['PUNCT']
7	degrees	degree	NOUN	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
8	C	C	PROPN	['Z5', 'K2', 'P1/A5.1', 'Y2', 'O4.6']
9	)	)	PUNCT	['PUNCT']
10	.	.	PUNCT	['PUNCT']
11	In	in	ADP	['Z5']
12	a	a	DET	['Z5']
13	shallow	shallow	ADJ	['N3.7-', 'A11.1-', 'A5.4-/S1.2.1+', 'A4.2-']
14	baking	baking	NOUN	['F1/O2']
15	dish	dish	NOUN	['F1/O2']
16	combine	combine	VERB	['A2.2', 'A1.8+', 'S5+c', 'F4']
17	the	the	DET	['Z5']
18	artichoke	artichoke	PROPN	['T1.3']
19	hearts	heart	NOUN	['T1.3']
20	,	,	PUNCT	['PUNCT']
21	mozzarella	mozzarella	NOUN	['F1']
22	cheese	cheese	NOUN	['F1']
23	,	,	PUNCT	['PUNCT']
24	parmesan	parmesan	NOUN	['Z99']
25	cheese	cheese	NOUN	['T1.3']
26	and	and	CCONJ	['T1.3']
27	mayonnaise	mayonnaise	NOUN	['T1.3']
28	.	.	PUNCT	['PUNCT']
29	Bake	Bake	PROPN	['F1', 'O4.6']
30	for	for	ADP	['Z5']
31	minutes	minute	NOUN	['T1.3', 'Q1.2']
32	,	,	PUNCT	['PUNCT']
33	or	or	CCONJ	['Z5']
34	until	until	ADP	['Z5']
35	hot	hot	ADJ	['O4.6+', 'X9.1+', 'O4.2+', 'X5.2+', 'G2.1-', 'A12-', 'S7.3+', 'E6-', 'A7+++']
36	and	and	CCONJ	['Z5']
37	bubbly	bubbly	NOUN	['F2']
38	.	.	PUNCT	['PUNCT']
39	Sprinkle	sprinkle	VERB	['A1.1.1']
40	with	with	ADP	['Z5']
41	almonds	almond	NOUN	['L3', 'F1/L3']
42	if	if	SCONJ	['Z7']
43	desired	desire	VERB	['X7+', 'S3.2']
44	.	.	PUNCT	['PUNCT']
45	Serve	serve	VERB	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
46	hot	hot	ADJ	['O4.6+', 'X9.1+', 'O4.2+', 'X5.2+', 'G2.1-', 'A12-', 'S7.3+', 'E6-', 'A7+++']
47	with	with	ADP	['Z5']
48	tortilla	tortilla	NOUN	['F1']
49	chips	chip	NOUN	['F1', 'Y2', 'O2', 'A1.1.2', 'K5.2/I1']
50	or	or	CCONJ	['Z5']
51	crackers	cracker	NOUN	['F1', 'O2']
52	.	.	PUNCT	['PUNCT']

1	Bring	bring	VERB	['M2', 'A2.2']
2	a	a	DET	['Z5']
3	small	small	ADJ	['N3.2-', 'N3.7-', 'N5-', 'T3-', 'A11.1-', 'S5-/I2.1', 'X3.2-', 'A5.1-']
4	saucepan	saucepan	NOUN	['O2']
5	of	of	ADP	['Z5']
6	water	water	NOUN	['O1.2', 'W3/M4', 'B1', 'C1%']
7	to	to	PART	['Z5']
8	boil	boil	VERB	['O4.6+', 'E3-']
9	.	.	PUNCT	['PUNCT']
10	Turn	turn	VERB	['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']
11	off	off	ADP	['Z5', 'E2-']
12	heat	heat	NOUN	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
13	.	.	PUNCT	['PUNCT']
14	Place	Place	PROPN	['T1.3']
15	sun	sun	NOUN	['T1.3']
16	-	-	PUNCT	['PUNCT']
17	dried	dry	VERB	['O1.2-']
18	tomatoes	tomato	NOUN	['F1']
19	in	in	ADP	['Z5']
20	the	the	DET	['Z5']
21	water	water	NOUN	['O1.2', 'W3/M4', 'B1', 'C1%']
22	and	and	CCONJ	['Z5']
23	cover	cover	VERB	['A10-', 'M1', 'N3.6', 'S8+', 'I1.1', 'A1.8+', 'N5', 'Q2.1', 'A1.1.1']
24	for	for	ADP	['Z5']
25	minutes	minute	NOUN	['T1.3', 'Q1.2']
26	.	.	PUNCT	['PUNCT']
27	Drain	drain	NOUN	['B4/H2']
28	and	and	CCONJ	['Z5']
29	finely	finely	ADV	['A5.1+', 'O4.5']
30	chop	chop	VERB	['A1.1.1', 'N5-/A2.1']
31	.	.	PUNCT	['PUNCT']
32	In	in	ADP	['Z5']
33	a	a	DET	['Z5']
34	medium	medium	ADJ	['N3.2', 'N3.1']
35	bowl	bowl	NOUN	['O2']
36	,	,	PUNCT	['PUNCT']
37	mix	mix	VERB	['A2.1+', 'S1.1.3+', 'K3']
38	cream	cream	NOUN	['F1']
39	cheese	cheese	NOUN	['F1']
40	and	and	CCONJ	['Z5']
41	garlic	garlic	NOUN	['F1', 'L3']
42	.	.	PUNCT	['PUNCT']
43	Line	line	NOUN	['O4.4', 'A4.1', 'Q1.3', 'X4.2', 'Q3', 'Q1.2', 'Q2.1/K4', 'S4', 'S7.1', 'A1.7+', 'A6.1-', 'I3.1', 'M4@c', 'G3@', 'K5.1@']
44	a	a	DET	['Z5']
45	medium	medium	ADJ	['N3.2', 'N3.1']
46	bowl	bowl	NOUN	['O2']
47	or	or	CCONJ	['Z5']
48	loaf	loaf	NOUN	['F1']
49	pan	pan	NOUN	['O2']
50	with	with	ADP	['Z5']
51	a	a	DET	['Z5']
52	large	large	ADJ	['N3.2+', 'N5+', 'A11.1+']
53	piece	piece	NOUN	['N5.1-', 'O2', 'Q4', 'K2', 'K4', 'G3@']
54	of	of	ADP	['Z5']
55	dampened	dampened	ADJ	['Z99']
56	cheese	cheese	NOUN	['F1']
57	cloth	cloth	NOUN	['B5', 'O2', 'S9/S5+']
58	.	.	PUNCT	['PUNCT']
59	Layer	layer	NOUN	['O2', 'A4.1']
60	with	with	ADP	['Z5']
61	/	/	SYM	['Z99']
62	of	of	ADP	['Z5']
63	the	the	DET	['Z5']
64	provolone	provolone	ADJ	['Z99']
65	cheese	cheese	NOUN	['F1']
66	.	.	PUNCT	['PUNCT']
67	Spread	spread	VERB	['A1.1.1', 'N3.6+/A2.1', 'N3.3+/A2.1', 'N5+/A2.1', 'N5', 'T1.3']
68	with	with	ADP	['Z5']
69	/	/	PUNCT	['PUNCT']
70	the	the	DET	['Z5']
71	pesto	pesto	NOUN	['Z99']
72	.	.	PUNCT	['PUNCT']
73	Pour	pour	VERB	['A1.1.1/O1.2', 'W4', 'M1/N5+']
74	in	in	ADP	['Z5']
75	/	/	SYM	['Z99']
76	the	the	DET	['Z5']
77	cream	cream	NOUN	['F1']
78	cheese	cheese	NOUN	['F1']
79	and	and	CCONJ	['Z5']
80	garlic	garlic	ADJ	['F1', 'L3']
81	mixture	mixture	NOUN	['O1.1', 'A6.3+']
82	.	.	PUNCT	['PUNCT']
83	Layer	layer	NOUN	['O2', 'A4.1']
84	with	with	ADP	['Z5']
85	/	/	SYM	['Z99']
86	the	the	DET	['Z5']
87	sun	sun	NOUN	['W1', 'W2', 'W4']
88	-	-	PUNCT	['PUNCT']
89	dried	dry	VERB	['O1.2-']
90	tomatoes	tomato	NOUN	['F1']
91	.	.	PUNCT	['PUNCT']
92	Layer	layer	NOUN	['O2', 'A4.1']
93	with	with	ADP	['Z5']
94	/	/	SYM	['Z99']
95	provolone	provolone	ADJ	['Z99']
96	,	,	PUNCT	['PUNCT']
97	remaining	remain	VERB	['T2++', 'M8', 'N5.2+']
98	pesto	pesto	NOUN	['Z99']
99	,	,	PUNCT	['PUNCT']
100	remaining	remain	VERB	['T2++', 'M8', 'N5.2+']
101	cream	cream	NOUN	['F1']
102	cheese	cheese	NOUN	['F1']
103	and	and	CCONJ	['Z5']
104	garlic	garlic	ADJ	['F1', 'L3']
105	mixture	mixture	NOUN	['O1.1', 'A6.3+']
106	and	and	CCONJ	['Z5']
107	remaining	remain	VERB	['T2++', 'M8', 'N5.2+']
108	sun	sun	NOUN	['W1', 'W2', 'W4']
109	-	-	PUNCT	['PUNCT']
110	dried	dry	VERB	['O1.2-']
111	tomatoes	tomato	NOUN	['F1']
112	.	.	PUNCT	['PUNCT']
113	Top	top	ADJ	['M6', 'N5.1+', 'A11.1+++', 'S7.1+++', 'N4', 'X9.1+++', 'A5.1+++']
114	with	with	ADP	['Z5']
115	remaining	remain	VERB	['T2++', 'M8', 'N5.2+']
116	provolone	provolone	ADJ	['Z99']
117	cheese	cheese	NOUN	['F1']
118	.	.	PUNCT	['PUNCT']
119	Pull	pull	VERB	['M2', 'A9+', 'M1']
120	cheese	cheese	NOUN	['F1']
121	cloth	cloth	NOUN	['B5', 'O2', 'S9/S5+']
122	around	around	ADP	['Z5']
123	the	the	DET	['Z5']
124	layered	layered	ADJ	['O4.1']
125	mixture	mixture	NOUN	['O1.1', 'A6.3+']
126	and	and	CCONJ	['Z5']
127	gently	gently	ADV	['E3+']
128	press	press	VERB	['A1.1.1', 'X8+', 'S7.1+', 'E6-']
129	into	into	ADP	['Z5']
130	a	a	DET	['Z5']
131	bowl	bowl	NOUN	['O2']
132	to	to	ADP	['Z5']
133	mold	mold	NOUN	['Z99']
134	and	and	CCONJ	['Z5']
135	remove	remove	VERB	['M2']
136	excess	excess	ADJ	['N5.2+']
137	oil	oil	NOUN	['O1.2', 'C1', 'C1/O1']
138	.	.	PUNCT	['PUNCT']
139	Chill	chill	NOUN	['O4.6-', 'B2-']
140	in	in	ADP	['Z5']
141	the	the	DET	['Z5']
142	refrigerator	refrigerator	NOUN	['O4.6-/O3']
143	to	to	ADP	['Z5']
144	hours	hour	NOUN	['T1.3']
145	.	.	PUNCT	['PUNCT']
146	Remove	remove	VERB	['M2']
147	cheese	cheese	NOUN	['F1']
148	cloth	cloth	NOUN	['B5', 'O2', 'S9/S5+']
149	and	and	CCONJ	['Z5']
150	turn	turn	VERB	['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']
151	upside	upside	ADV	['M6']
152	down	down	ADV	['M6']
153	onto	onto	ADP	['Z5']
154	a	a	DET	['Z5']
155	large	large	ADJ	['N3.2+', 'N5+', 'A11.1+']
156	dish	dish	NOUN	['O2', 'F1', 'Q4.3', 'O4.2+%']
157	to	to	PART	['Z5']
158	serve	serve	VERB	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
159	.	.	PUNCT	['PUNCT']

1	Mash	mash	NOUN	['F1']
2	garlic	garlic	NOUN	['F1', 'L3']
3	with	with	ADP	['Z5']
4	the	the	DET	['Z5']
5	salt	salt	NOUN	['F1', 'O1.1']
6	in	in	ADP	['Z5']
7	a	a	DET	['Z5']
8	small	small	ADJ	['N3.2-', 'N3.7-', 'N5-', 'T3-', 'A11.1-', 'S5-/I2.1', 'X3.2-', 'A5.1-']
9	bowl	bowl	NOUN	['O2']
10	.	.	PUNCT	['PUNCT']
11	Place	place	NOUN	['M7', 'H1', 'A1.2', 'P1']
12	into	into	ADP	['Z5']
13	a	a	DET	['Z5']
14	blender	blender	NOUN	['O2/F1']
15	or	or	CCONJ	['Z5']
16	food	food	NOUN	['O2/F1']
17	processor	processor	NOUN	['O2/F1']
18	along	along	ADP	['Z5']
19	with	with	ADP	['Z5']
20	the	the	DET	['Z5']
21	garbanzo	garbanzo	NOUN	['Z99']
22	beans	bean	NOUN	['F1']
23	,	,	PUNCT	['PUNCT']
24	tahini	tahini	NOUN	['Z99']
25	,	,	PUNCT	['PUNCT']
26	lemon	lemon	NOUN	['F1', 'L3', 'F2', 'O4.3']
27	juice	juice	NOUN	['F2', 'O1.2']
28	,	,	PUNCT	['PUNCT']
29	honey	honey	NOUN	['F1']
30	,	,	PUNCT	['PUNCT']
31	and	and	CCONJ	['Z5']
32	enough	enough	ADJ	['N5+', 'N6+', 'A13.3']
33	water	water	NOUN	['O1.2', 'W3/M4', 'B1', 'C1%']
34	to	to	PART	['Z5']
35	cover	cover	VERB	['A10-', 'M1', 'N3.6', 'S8+', 'I1.1', 'A1.8+', 'N5', 'Q2.1', 'A1.1.1']
36	the	the	DET	['Z5']
37	beans	bean	NOUN	['F1']
38	.	.	PUNCT	['PUNCT']
39	Process	process	NOUN	['A1.1.1', 'X4.2']
40	until	until	ADP	['Z5']
41	smooth	smooth	ADJ	['O4.5']
42	.	.	PUNCT	['PUNCT']
43	Spoon	spoon	VERB	['A1.1.1']
44	into	into	ADP	['Z5']
45	a	a	DET	['Z5']
46	serving	serve	VERB	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
47	dish	dish	NOUN	['O2', 'F1', 'Q4.3', 'O4.2+%']
48	,	,	PUNCT	['PUNCT']
49	and	and	CCONJ	['Z5']
50	drizzle	drizzle	VERB	['W4', 'M2']
51	tablespoons	tablespoon	NOUN	['O2/F1']
52	of	of	ADP	['Z5']
53	olive	olive	NOUN	['F1']
54	oil	oil	NOUN	['F1']
55	over	over	ADP	['N5.2+']
56	the	the	DET	['N5.2+']
57	top	top	NOUN	['N5.2+']
58	.	.	PUNCT	['PUNCT']
59	Preheat	preheat	VERB	['Z99']
60	the	the	DET	['Z5']
61	oven	oven	NOUN	['O2/F1']
62	to	to	PART	['Z5']
63	degrees	degree	NOUN	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
64	F	F	PROPN	['Z5']
65	(	(	PUNCT	['PUNCT']
66	degrees	degree	NOUN	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
67	C	C	PROPN	['Z5', 'K2', 'P1/A5.1', 'Y2', 'O4.6']
68	)	)	PUNCT	['PUNCT']
69	.	.	PUNCT	['PUNCT']
70	Brush	Brush	PROPN	['T1.3']
71	pita	pita	NOUN	['T1.3']
72	breads	bread	VERB	['F1', 'I1.1']
73	with	with	ADP	['Z5']
74	remaining	remain	VERB	['T2++', 'M8', 'N5.2+']
75	olive	olive	NOUN	['F1']
76	oil	oil	NOUN	['F1']
77	,	,	PUNCT	['PUNCT']
78	and	and	CCONJ	['Z5']
79	cut	cut	VERB	['A1.1.1', 'N5-/A2.1', 'T2-', 'M1', 'Q4.3', 'K5.1', 'B1', 'F3']
80	into	into	ADP	['Z5']
81	wedges	wedge	NOUN	['O2']
82	.	.	PUNCT	['PUNCT']
83	Season	season	NOUN	['T1.3']
84	with	with	ADP	['Z5']
85	salt	salt	NOUN	['F1', 'O1.1']
86	and	and	CCONJ	['Z5']
87	fresh	fresh	ADJ	['T3-', 'O4.2+', 'B1', 'W4', 'S1.2.3+']
88	rosemary	rosemary	NOUN	['Z99']
89	.	.	PUNCT	['PUNCT']
90	Bake	bake	VERB	['F1', 'O4.6']
91	for	for	ADP	['Z5']
92	minutes	minute	NOUN	['T1.3', 'Q1.2']
93	in	in	ADP	['Z5']
94	the	the	DET	['Z5']
95	preheated	preheated	ADJ	['T1.3']
96	oven	oven	PROPN	['T1.3']
97	.	.	PUNCT	['PUNCT']
98	Cool	cool	INTJ	['O4.6-/A2.1', 'X5.2-/A2.1']
99	,	,	PUNCT	['PUNCT']
100	and	and	CCONJ	['Z5']
101	serve	serve	VERB	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
102	with	with	ADP	['Z5']
103	hummus	hummus	NOUN	['Z99']
104	.	.	PUNCT	['PUNCT']

1	Preheat	preheat	NOUN	['Z99']
2	oven	oven	VERB	['O2/F1']
3	to	to	PART	['Z5']
4	degrees	degree	NOUN	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
5	F	F	PROPN	['Z5']
6	(	(	PUNCT	['PUNCT']
7	degrees	degree	NOUN	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
8	C	C	PROPN	['Z5', 'K2', 'P1/A5.1', 'Y2', 'O4.6']
9	)	)	PUNCT	['PUNCT']
10	.	.	PUNCT	['PUNCT']
11	In	in	ADP	['Z5']
12	a	a	DET	['Z5']
13	medium	medium	ADJ	['N3.2', 'N3.1']
14	bowl	bowl	NOUN	['O2']
15	combine	combine	VERB	['A2.2', 'A1.8+', 'S5+c', 'F4']
16	the	the	DET	['Z5']
17	shredded	shred	VERB	['A1.1.1']
18	chicken	chicken	NOUN	['L2mfn', 'F1', 'E5-/S2mf']
19	,	,	PUNCT	['PUNCT']
20	picante	picante	NOUN	['Z99']
21	sauce	sauce	NOUN	['T1.3']
22	and	and	CCONJ	['T1.3']
23	ground	ground	NOUN	['T1.3']
24	cumin	cumin	NOUN	['L3']
25	.	.	PUNCT	['PUNCT']
26	Mix	mix	VERB	['A2.1+', 'S1.1.3+', 'K3']
27	together	together	ADV	['S5+', 'T1.1.2', 'M6']
28	.	.	PUNCT	['PUNCT']
29	In	in	ADP	['Z5']
30	a	a	DET	['Z5']
31	small	small	ADJ	['N3.2-', 'N3.7-', 'N5-', 'T3-', 'A11.1-', 'S5-/I2.1', 'X3.2-', 'A5.1-']
32	skillet	skillet	NOUN	['Z99']
33	heat	heat	NOUN	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
34	vegetable	vegetable	NOUN	['F1', 'X9.1-/S2mf']
35	oil	oil	NOUN	['O1.2', 'C1', 'C1/O1']
36	over	over	ADP	['Z5']
37	medium	medium	ADJ	['N3.2', 'N3.1']
38	high	high	ADJ	['N3.7+', 'N5+', 'A11.1+', 'S7.1+', 'A5.1+', 'T3-', 'X3.2', 'G2.2+', 'E4.1+', 'I1.3+', 'F3', 'O4.2-', 'O4.6+', 'S9']
39	heat	heat	NOUN	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
40	.	.	PUNCT	['PUNCT']
41	Place	place	VERB	['M2', 'X2.2+', 'I3.1', 'Q2.2']
42	a	a	DET	['Z5']
43	corn	corn	NOUN	['F1', 'B2-']
44	tortilla	tortilla	NOUN	['F1']
45	in	in	ADP	['Z5']
46	the	the	DET	['Z5']
47	oil	oil	NOUN	['O1.2', 'C1', 'C1/O1']
48	for	for	ADP	['Z5']
49	to	to	ADP	['Z5']
50	seconds	second	NOUN	['P1', 'F1', 'O2/T3+', 'S8+/S2mf', 'T1.3', 'T1.2']
51	on	on	ADP	['S8+']
52	either	either	DET	['S8+']
53	side	side	NOUN	['S8+']
54	to	to	PART	['Z5']
55	soften	soften	VERB	['O4.5', 'A2.1+', 'S1.2.5-', 'S1.2.1+', 'O4.1']
56	.	.	PUNCT	['PUNCT']
57	Repeat	repeat	VERB	['N6+', 'Q2.1/N6+', 'F1/B1@']
58	with	with	ADP	['Z5']
59	all	all	DET	['N5.1+']
60	of	of	ADP	['Z5']
61	the	the	DET	['Z5']
62	tortillas	tortilla	NOUN	['F1']
63	(	(	PUNCT	['PUNCT']
64	if	if	SCONJ	['Z7']
65	possible	possible	ADJ	['A7+']
66	,	,	PUNCT	['PUNCT']
67	have	have	AUX	['A9+', 'Z5', 'A2.2', 'S4']
68	someone	someone	PRON	['Z8mfc']
69	help	help	VERB	['A5.4+']
70	you	you	PRON	['A5.4+']
71	do	do	AUX	['S1.1.3+', 'A1.1.1']
72	this	this	DET	['M6', 'Z5', 'Z8']
73	)	)	PUNCT	['PUNCT']
74	.	.	PUNCT	['PUNCT']
75	Place	Place	PROPN	['Z1mf', 'Z3c']
76	tortillas	tortillas	PROPN	['Z1mf', 'Z3c']
77	on	on	ADP	['Z5']
78	paper	paper	NOUN	['B4/B5']
79	towel	towel	NOUN	['B4/B5']
80	to	to	PART	['Z5']
81	soak	soak	VERB	['O1.2', 'B4']
82	up	up	ADP	['Z5']
83	some	some	DET	['N5', 'Z5']
84	of	of	ADP	['Z5']
85	the	the	DET	['Z5']
86	oil	oil	NOUN	['O1.2', 'C1', 'C1/O1']
87	.	.	PUNCT	['PUNCT']
88	Put	put	VERB	['M2', 'Q2.1', 'Q2.2', 'A1.1.1']
89	tablespoon	tablespoon	NOUN	['Df/A5.1+++mfnc']
90	of	of	ADP	['Df/A5.1+++mfnc']
91	the	the	DET	['Df/A5.1+++mfnc']
92	chicken	chicken	NOUN	['Df/A5.1+++mfnc']
93	mixture	mixture	NOUN	['O1.1', 'A6.3+']
94	in	in	ADP	['Z5']
95	the	the	DET	['Z5']
96	center	center	NOUN	['M6', 'H1c', 'M7c', 'G1.2c', 'K5.1mfn']
97	of	of	ADP	['N6+', 'T1.2']
98	a	a	DET	['N6+', 'T1.2']
99	tortilla	tortilla	NOUN	['N6+', 'T1.2']
100	and	and	CCONJ	['Z5']
101	sprinkle	sprinkle	VERB	['A1.1.1']
102	some	some	DET	['N5', 'Z5']
103	cheese	cheese	NOUN	['F1']
104	on	on	ADP	['S7.1+', 'M6', 'N5++']
105	top	top	NOUN	['S7.1+', 'M6', 'N5++']
106	.	.	PUNCT	['PUNCT']
107	Roll	roll	VERB	['M1', 'M2', 'A1.1.1']
108	up	up	ADP	['Z5']
109	tortilla	tortilla	NOUN	['T1.3']
110	and	and	CCONJ	['T1.3']
111	place	place	NOUN	['T1.3']
112	on	on	ADP	['Z5']
113	a	a	DET	['Z5']
114	lightly	lightly	ADV	['N6-', 'N3.5-', 'E3+', 'N5-', 'A12+']
115	greased	grease	VERB	['A1.1.1', 'F1']
116	cookie	cookie	NOUN	['F1']
117	sheet	sheet	NOUN	['B5', 'O2', 'Q1.2', 'N5']
118	,	,	PUNCT	['PUNCT']
119	seam	seam	NOUN	['M7']
120	side	side	NOUN	['M7']
121	down	down	ADP	['Z5']
122	.	.	PUNCT	['PUNCT']
123	Repeat	repeat	VERB	['N6+', 'Q2.1/N6+', 'F1/B1@']
124	with	with	ADP	['Z5']
125	all	all	DET	['N5.1+']
126	of	of	ADP	['Z5']
127	the	the	DET	['Z5']
128	tortillas	tortilla	NOUN	['F1']
129	until	until	ADP	['Z5']
130	chicken	chicken	NOUN	['L2mfn', 'F1', 'E5-/S2mf']
131	mixture	mixture	NOUN	['O1.1', 'A6.3+']
132	is	be	AUX	['A3+', 'Z5']
133	gone	go	VERB	['M1', 'A2.1+', 'A1.1.1', 'A9-', 'A1.8+', 'Q2.1', 'N6+', 'I2.2', 'A1.1.2', 'T2-', 'S3.2', 'A6.3+', 'B2-/X1%', 'B1%']
134	.	.	PUNCT	['PUNCT']
135	If	if	SCONJ	['Z7']
136	there	there	PRON	['Z5']
137	is	be	AUX	['A3+', 'Z5']
138	any	any	DET	['N5.1+', 'N5']
139	cheese	cheese	NOUN	['F1']
140	left	leave	VERB	['M1', 'M2', 'A1.1.1', 'A1.9', 'A9-', 'N5.2+', 'T2-']
141	over	over	ADP	['Z5']
142	,	,	PUNCT	['PUNCT']
143	sprinkle	sprinkle	VERB	['A5.4+']
144	it	it	PRON	['A5.4+']
145	over	over	ADP	['Z5']
146	the	the	DET	['Z5']
147	rolled	roll	VERB	['M1', 'M2', 'A1.1.1']
148	tortillas	tortillas	NOUN	['Z99']
149	.	.	PUNCT	['PUNCT']
150	Bake	Bake	PROPN	['Z1mf', 'Z3c']
