Index	Text	Lemma	POS
86	and	and	CC
87	fresh	fresh	JJ
88	rosemary	rosemary	NN
89	.	.	.
90	Bake	bake	VB
91	for	for	IN
92	minutes	minute	NNS
93	in	in	IN
94	the	the	DT
95	preheated	preheated	JJ
96	oven	oven	NN
97	.	.	.
98	Cool	cool	UH
99	,	,	,
100	and	and	CC
101	serve	serve	VB
102	with	with	IN
103	hummus	hummus	NN
104	.	.	.

1	Preheat	preheat	JJ
2	oven	oven	NN
3	to	to	IN
4	degrees	degree	NNS
5	F	f	NN
6	(	(	-LRB-
7	degrees	degree	NNS
8	C	c	NN
9	)	)	-RRB-
10	.	.	.
11	In	in	IN
12	a	a	DT
13	medium	medium	JJ
14	bowl	bowl	NN
15	combine	combine	VB
16	the	the	DT
17	shredded	shred	VBN
18	chicken	chicken	NN
19	,	,	,
20	picante	picante	NN
21	sauce	sauce	NN
22	and	and	CC
23	ground	ground	NN
24	cumin	cumin	NN
25	.	.	.
26	Mix	mix	VB
27	together	together	RB
28	.	.	.
29	In	in	IN
30	a	a	DT
31	small	small	JJ
32	skillet	skillet	NN
33	heat	heat	NN
34	vegetable	vegetable	NN
35	oil	oil	NN
36	over	over	IN
37	medium	medium	JJ
38	high	high	JJ
39	heat	heat	NN
40	.	.	.
41	Place	place	VB
42	a	a	DT
43	corn	corn	NN
44	tortilla	tortilla	NN
45	in	in	IN
46	the	the	DT
47	oil	oil	NN
48	for	for	IN
49	to	to	IN
50	seconds	second	NNS
51	on	on	IN
52	either	either	DT
53	side	side	NN
54	to	to	TO
55	soften	soften	VB
56	.	.	.
57	Repeat	repeat	VB
58	with	with	IN
59	all	all	DT
60	of	of	IN
61	the	the	DT
62	tortillas	tortilla	NNS
63	(	(	-LRB-
64	if	if	IN
65	possible	possible	JJ
66	,	,	,
67	have	have	VB
68	someone	someone	NN
69	help	help	VB
70	you	you	PRP
71	do	do	VB
72	this	this	DT
73	)	)	-RRB-
74	.	.	.
75	Place	place	VB
76	tortillas	tortilla	NNS
77	on	on	IN
78	paper	paper	NN
79	towel	towel	NN
80	to	to	TO
81	soak	soak	VB
82	up	up	RP
83	some	some	DT
84	of	of	IN
85	the	the	DT
86	oil	oil	NN
87	.	.	.
88	Put	put	VB
89	tablespoon	tablespoon	NN
90	of	of	IN
91	the	the	DT
92	chicken	chicken	NN
93	mixture	mixture	NN
94	in	in	IN
95	the	the	DT
96	center	center	NN
97	of	of	IN
98	a	a	DT
99	tortilla	tortilla	NN
100	and	and	CC
101	sprinkle	sprinkle	VB
102	some	some	DT
103	cheese	cheese	NN
104	on	on	IN
105	top	top	NN
106	.	.	.
107	Roll	roll	VB
108	up	up	RP
109	tortilla	tortilla	NN
110	and	and	CC
111	place	place	NN
112	on	on	IN
113	a	a	DT
114	lightly	lightly	RB
115	greased	grease	VBN
116	cookie	cookie	NN
117	sheet	sheet	NN
118	,	,	,
119	seam	seam	NN
120	side	side	NN
121	down	down	RB
122	.	.	.
123	Repeat	repeat	VB
124	with	with	IN
125	all	all	DT
126	of	of	IN
127	the	the	DT
128	tortillas	tortilla	NNS
129	until	until	IN
130	chicken	chicken	NN
131	mixture	mixture	NN
132	is	be	VBZ
133	gone	go	VBN
134	.	.	.
135	If	if	IN
136	there	there	EX
137	is	be	VBZ
138	any	any	DT
139	cheese	cheese	NN
140	left	leave	VBD
141	over	over	RP
142	,	,	,
143	sprinkle	sprinkle	VB
144	it	it	PRP
145	over	over	IN
146	the	the	DT
147	rolled	roll	VBN
148	tortillas	tortilla	NNS
149	.	.	.
150	Bake	bake	VB
151	tortillas	tortilla	NNS
152	in	in	IN
153	the	the	DT
154	preheated	preheated	JJ
155	oven	oven	NN
156	for	for	IN
157	to	to	IN
158	minutes	minute	NNS
159	or	or	CC
160	until	until	IN
161	tortillas	tortilla	NNS
162	are	be	VBP
163	a	a	DT
164	little	little	JJ
165	crispy	crispy	JJ
166	and	and	CC
167	golden	golden	JJ
168	brown	brown	NN
169	.	.	.

1	Spread	spread	NN
2	cream	cream	NN
3	cheese	cheese	NN
4	over	over	IN
5	a	a	DT
6	meat	meat	NN
7	slice	slice	NN
8	to	to	TO
9	cover	cover	VB
10	.	.	.
11	Place	place	VB
12	a	a	DT
13	pickle	pickle	NN
14	piece	piece	NN
15	on	on	IN
16	one	one	CD
17	end	end	NN
18	,	,	,
19	and	and	CC
20	roll	roll	VB
21	the	the	DT
22	meat	meat	NN
23	up	up	RP
24	.	.	.
25	Repeat	repeat	VB
26	with	with	IN
27	remaining	remain	VBG
28	ingredients	ingredient	NNS
29	.	.	.
30	Cut	cut	VB
31	into	into	IN
32	/	/	HYPH
33	inch	inch	NN
34	pieces	piece	NNS
35	,	,	,
36	and	and	CC
37	chill	chill	VB
38	until	until	IN
39	ready	ready	JJ
40	to	to	TO
41	serve	serve	VB
42	.	.	.

1	Mix	mix	VB
2	the	the	DT
3	dry	dry	JJ
4	ranch	ranch	NN
5	salad	salad	NN
6	dressing	dress	VBG
7	mix	mix	NN
8	,	,	,
9	mayonnaise	mayonnaise	NN
10	,	,	,
11	and	and	CC
12	milk	milk	NN
13	in	in	IN
14	a	a	DT
15	bowl	bowl	NN
16	.	.	.
17	Beat	beat	NN
18	in	in	IN
19	the	the	DT
20	cream	cream	NN
21	cheese	cheese	NN
22	with	with	IN
23	an	a	DT
24	electric	electric	JJ
25	mixer	mixer	NN
26	until	until	IN
27	smooth	smooth	JJ
28	.	.	.
29	Mix	mix	VB
30	in	in	IN
31	Cheddar	Cheddar	NNP
32	cheese	cheese	NN
33	.	.	.
34	Cover	cover	NN
35	bowl	bowl	NN
36	with	with	IN
37	plastic	plastic	NN
38	wrap	wrap	NN
39	,	,	,
40	and	and	CC
41	freeze	freeze	VB
42	minutes	minute	NNS
43	.	.	.
44	Divide	divide	VB
45	mixture	mixture	NN
46	in	in	IN
47	half	half	NN
48	,	,	,
49	and	and	CC
50	shape	shape	NN
51	into	into	IN
52	balls	ball	NNS
53	.	.	.
54	Roll	roll	VB
55	each	each	DT
56	ball	ball	NN
57	in	in	IN
58	almonds	almond	NNS
59	to	to	TO
60	coat	coat	VB
61	.	.	.
62	Cover	cover	NN
63	and	and	CC
64	refrigerate	refrigerate	VBP
65	balls	ball	NNS
66	until	until	IN
67	ready	ready	JJ
68	to	to	TO
69	serve	serve	VB
70	.	.	.

1	Soak	soak	VB
2	rice	rice	NN
3	in	in	IN
4	cold	cold	JJ
5	water	water	NN
6	,	,	,
7	and	and	CC
8	drain	drain	NN
9	.	.	.
10	In	in	IN
11	a	a	DT
12	large	large	JJ
13	bowl	bowl	NN
14	,	,	,
15	mix	mix	VB
16	together	together	RB
17	the	the	DT
18	ground	ground	NN
19	lamb	lamb	NN
20	,	,	,
21	rice	rice	NN
22	,	,	,
23	allspice	allspice	NN
24	,	,	,
25	salt	salt	NN
26	and	and	CC
27	pepper	pepper	NN
28	until	until	IN
29	well	well	UH
30	blended	blended	JJ
31	.	.	.
32	Place	place	VB
33	about	about	RB
34	tablespoon	tablespoon	NN
35	of	of	IN
36	the	the	DT
37	meat	meat	NN
38	mixture	mixture	NN
39	onto	onto	IN
40	the	the	DT
41	center	center	NN
42	of	of	IN
43	each	each	DT
44	leaf	leaf	NN
45	.	.	.
46	Fold	fold	VB
47	the	the	DT
48	leaf	leaf	NN
49	over	over	IN
50	once	once	RB
51	,	,	,
52	turn	turn	VB
53	in	in	IN
54	the	the	DT
55	edges	edge	NNS
56	on	on	IN
57	each	each	DT
58	side	side	NN
59	,	,	,
60	and	and	CC
61	then	then	RB
62	roll	roll	VB
63	the	the	DT
64	leaf	leaf	NN
65	closed	close	VBD
66	.	.	.
67	Stack	stack	VB
68	the	the	DT
69	leaf-rolls	leaf-roll	NNS
70	in	in	IN
71	a	a	DT
72	large	large	JJ
73	pot	pot	NN
74	,	,	,
75	covering	cover	VBG
76	each	each	DT
77	layer	layer	NN
78	with	with	IN
79	slices	slice	NNS
80	of	of	IN
81	garlic	garlic	NN
82	.	.	.
83	Add	add	VB
84	just	just	RB
85	enough	enough	JJ
86	water	water	NN
87	to	to	TO
88	cover	cover	VB
89	the	the	DT
90	rolls	roll	NNS
91	,	,	,
92	then	then	RB
93	pour	pour	VB
94	in	in	IN
95	the	the	DT
96	lemon	lemon	NN
97	juice	juice	NN
98	.	.	.
99	Add	add	VB
100	the	the	DT
101	olives	olive	NNS
102	to	to	IN
103	the	the	DT
104	pot	pot	NN
105	for	for	IN
106	flavoring	flavoring	NN
107	,	,	,
108	if	if	IN
109	desired	desire	VBN
110	.	.	.
111	Place	place	VB
112	a	a	DT
113	plate	plate	NN
114	on	on	IN
115	top	top	NN
116	of	of	IN
117	the	the	DT
118	rolls	roll	NNS
119	to	to	TO
120	keep	keep	VB
121	them	they	PRP
122	under	under	IN
123	water	water	NN
124	.	.	.
125	Bring	bring	VB
126	to	to	IN
127	a	a	DT
128	boil	boil	NN
129	,	,	,
130	then	then	RB
131	reduce	reduce	VB
132	heat	heat	NN
133	,	,	,
134	cover	cover	NN
135	and	and	CC
136	simmer	simmer	VBP
137	for	for	IN
138	hour	hour	NN
139	and	and	CC
140	minutes	minute	NNS
141	.	.	.
142	Taste	taste	NN
143	the	the	DT
144	rice	rice	NN
145	for	for	IN
146	doneness	doneness	NN
147	.	.	.
148	Grape	grape	NN
149	leaves	leave	VBZ
150	taste	taste	NN
151	even	even	RB
152	better	well	RBR
153	after	after	IN
154	sitting	sit	VBG
155	for	for	IN
156	several	several	JJ
157	hours	hour	NNS
158	.	.	.
159	Serve	serve	VB
160	and	and	CC
161	enjoy	enjoy	VB
162	.	.	.

1	Pour	pour	VB
2	the	the	DT
3	beet	beet	NN
4	juice	juice	NN
5	into	into	IN
6	a	a	DT
7	medium-size	medium-size	JJ
8	pot	pot	NN
9	.	.	.
10	Stir	stir	VB
11	in	in	IN
12	the	the	DT
13	brown	brown	JJ
14	sugar	sugar	NN
15	,	,	,
16	vinegar	vinegar	NN
17	,	,	,
18	water	water	NN
19	,	,	,
20	salt	salt	NN
21	,	,	,
22	cloves	clove	NNS
23	,	,	,
24	and	and	CC
25	the	the	DT
26	cinnamon	cinnamon	NN
27	stick	stick	NN
28	.	.	.
29	Place	place	VB
30	the	the	DT
31	pot	pot	NN
32	over	over	IN
33	a	a	DT
34	medium	medium	JJ
35	heat	heat	NN
36	for	for	IN
37	minutes	minute	NNS
38	,	,	,
39	stirring	stir	VBG
40	occasionally	occasionally	RB
41	.	.	.
42	Place	place	VB
43	the	the	DT
44	beets	beet	NNS
45	into	into	IN
46	the	the	DT
47	liquid	liquid	JJ
48	mixture	mixture	NN
49	and	and	CC
50	let	let	VB
51	it	it	PRP
52	cook	cook	VB
53	for	for	IN
54	an	a	DT
55	additional	additional	JJ
56	minutes	minute	NNS
57	to	to	TO
58	allow	allow	VB
59	the	the	DT
60	beets	beet	NNS
61	to	to	TO
62	heat	heat	VB
63	.	.	.
64	Place	place	VB
65	the	the	DT
66	hard	hard	JJ
67	cooked	cook	VBN
68	eggs	egg	NNS
69	(	(	-LRB-
70	with	with	IN
71	the	the	DT
72	shells	shell	NNS
73	removed	remove	VBN
74	)	)	-RRB-
75	in	in	IN
76	a	a	DT
77	container	container	NN
78	with	with	IN
79	a	a	DT
80	tight-fitting	tight-fitting	JJ
81	lid	lid	NN
82	.	.	.
83	Pour	pour	VB
84	the	the	DT
85	liquid	liquid	NN
86	and	and	CC
87	beets	beet	NNS
88	into	into	IN
89	the	the	DT
90	container	container	NN
91	with	with	IN
92	the	the	DT
93	eggs	egg	NNS
94	.	.	.
95	Store	Store	NNP
96	the	the	DT
97	container	container	NN
98	in	in	IN
99	the	the	DT
100	refrigerator	refrigerator	NN
101	for	for	IN
102	approximately	approximately	RB
103	days	day	NNS
104	before	before	IN
105	eating	eat	VBG
106	.	.	.

1	Preheat	preheat	JJ
2	oven	oven	NN
3	to	to	IN
4	degrees	degree	NNS
5	F	f	NN
6	(	(	-LRB-
7	degrees	degree	NNS
8	C	c	NN
9	)	)	-RRB-
10	.	.	.
11	Line	line	NN
12	a	a	DT
13	baking	baking	NN
14	sheet	sheet	NN
15	with	with	IN
16	parchment	parchment	NN
17	paper	paper	NN
18	.	.	.
19	Beat	beat	NN
20	egg	egg	NN
21	whites	whites	NNS
22	and	and	CC
23	vanilla	vanilla	NN
24	extract	extract	NN
25	in	in	IN
26	a	a	DT
27	large	large	JJ
28	bowl	bowl	NN
29	;	;	:
30	add	add	VB
31	almonds	almond	NNS
32	and	and	CC
33	toss	toss	VB
34	to	to	IN
35	coat	coat	NN
36	.	.	.
37	Stir	stir	VB
38	brown	brown	JJ
39	sugar	sugar	NN
40	,	,	,
41	white	white	JJ
42	sugar	sugar	NN
43	,	,	,
44	cinnamon	cinnamon	NN
45	,	,	,
46	and	and	CC
47	salt	salt	NN
48	into	into	IN
49	almonds	almond	NNS
50	until	until	IN
51	blended	blend	VBN
52	.	.	.
53	Spread	spread	NN
54	almond	almond	NN
55	mixture	mixture	NN
56	into	into	IN
57	prepared	prepared	JJ
58	baking	baking	JJ
59	dish	dish	NN
60	.	.	.
61	Bake	bake	VB
62	in	in	IN
63	preheated	preheated	JJ
64	oven	oven	NN
65	,	,	,
66	stirring	stir	VBG
67	every	every	DT
68	minutes	minute	NNS
69	,	,	,
70	until	until	IN
71	coating	coating	NN
72	is	be	VBZ
73	dry	dry	JJ
74	,	,	,
75	about	about	IN
76	minutes	minute	NNS
77	.	.	.

1	Stir	stir	VB
2	the	the	DT
3	corn	corn	NN
4	,	,	,
5	orange	orange	JJ
6	bell	bell	NN
7	pepper	pepper	NN
8	,	,	,
9	jalapeno	jalapeno	NN
10	pepper	pepper	NN
11	,	,	,
12	red	red	JJ
13	onion	onion	NN
14	,	,	,
15	cilantro	cilantro	NN
16	,	,	,
17	lime	lime	NN
18	juice	juice	NN
19	,	,	,
20	crushed	crush	VBN
21	red	red	JJ
22	pepper	pepper	NN
23	,	,	,
24	honey	honey	NN
25	,	,	,
26	salt	salt	NN
27	,	,	,
28	and	and	CC
29	pepper	pepper	NN
30	together	together	RB
31	in	in	IN
32	a	a	DT
33	bowl	bowl	NN
34	.	.	.
35	Chill	Chill	NNP
36	until	until	IN
37	ready	ready	JJ
38	to	to	TO
39	serve	serve	VB
40	.	.	.

1	In	in	IN
2	a	a	DT
3	large	large	JJ
4	bowl	bowl	NN
5	,	,	,
6	mix	mix	VB
7	chicken	chicken	NN
8	,	,	,
9	cabbage	cabbage	NN
10	,	,	,
11	carrots	carrot	NNS
12	,	,	,
13	green	green	JJ
14	onions	onion	NNS
15	,	,	,
16	green	green	JJ
17	beans	bean	NNS
18	,	,	,
19	green	green	JJ
20	bell	bell	NN
21	pepper	pepper	NN
22	and	and	CC
23	zucchini	zucchini	NN
24	.	.	.
25	In	in	IN
26	a	a	DT
27	separate	separate	JJ
28	bowl	bowl	NN
29	,	,	,
30	beat	beat	VBN
31	together	together	RB
32	eggs	egg	NNS
33	,	,	,
34	flour	flour	NN
35	,	,	,
36	chicken	chicken	NN
37	stock	stock	NN
38	and	and	CC
39	soy	soy	NN
40	sauce	sauce	NN
41	.	.	.
42	Pour	pour	VB
43	batter	batter	NN
44	over	over	IN
45	chicken	chicken	NN
46	mixture	mixture	NN
47	and	and	CC
48	toss	toss	VB
49	to	to	IN
50	thoroughly	thoroughly	RB
51	coat	coat	NN
52	.	.	.
53	Mix	mix	VB
54	vegetable	vegetable	NN
55	oil	oil	NN
56	and	and	CC
57	sesame	sesame	NN
58	oil	oil	NN
59	in	in	IN
60	a	a	DT
61	skillet	skillet	NN
62	over	over	IN
63	medium	medium	JJ
64	heat	heat	NN
65	.	.	.
66	Scoop	scoop	VB
67	about	about	RB
68	/	/	HYPH
69	cup	cup	NN
70	batter	batter	NN
71	into	into	IN
72	skillet	skillet	NN
73	,	,	,
74	enough	enough	RB
75	to	to	TO
76	make	make	VB
77	a	a	DT
78	/	/	HYPH
79	inch	inch	NN
80	circle	circle	NN
81	.	.	.
82	Cover	cover	NN
83	and	and	CC
84	cook	cook	VB
85	minutes	minute	NNS
86	,	,	,
87	or	or	CC
88	until	until	IN
89	bottom	bottom	NN
90	is	be	VBZ
91	golden	golden	JJ
92	brown	brown	NN
93	.	.	.
94	Flip	flip	VB
95	and	and	CC
96	continue	continue	VB
97	cooking	cook	VBG
98	minutes	minute	NNS
99	,	,	,
100	or	or	CC
101	until	until	IN
102	cooked	cook	VBN
103	through	through	RB
104	.	.	.
105	Drain	drain	VB
106	on	on	RP
107	paper	paper	NN
108	towels	towel	NNS
109	.	.	.

1	In	in	IN
2	a	a	DT
3	large	large	JJ
4	skillet	skillet	NN
5	over	over	IN
6	medium	medium	JJ
7	high	high	JJ
8	heat	heat	NN
9	,	,	,
10	fry	fry	NN
11	pork	pork	NN
12	sausage	sausage	NN
13	and	and	CC
14	onion	onion	NN
15	until	until	IN
16	sausage	sausage	NN
17	is	be	VBZ
18	evenly	evenly	RB
19	brown	brown	JJ
20	and	and	CC
21	onion	onion	NN
22	is	be	VBZ
23	soft	soft	JJ
24	,	,	,
25	about	about	IN
26	minutes	minute	NNS
27	.	.	.
28	Drain	drain	VB
29	and	and	CC
30	allow	allow	VB
31	to	to	TO
32	cool	cool	VB
33	slightly	slightly	RB
34	.	.	.
35	Crumble	crumble	VB
36	sausage	sausage	NN
37	mixture	mixture	NN
38	into	into	IN
39	a	a	DT
40	large	large	JJ
41	bowl	bowl	NN
42	and	and	CC
43	add	add	VB
44	drained	drain	VBN
45	sauerkraut	sauerkraut	NN
46	,	,	,
47	mustard	mustard	NN
48	,	,	,
49	garlic	garlic	NN
50	salt	salt	NN
51	,	,	,
52	pepper	pepper	NN
53	and	and	CC
54	tablespoons	tablespoon	NNS
55	bread	bread	NN
56	crumbs	crumb	NNS
57	.	.	.
58	Combine	combine	VB
59	cream	cream	NN
60	cheese	cheese	NN
61	and	and	CC
62	parsley	parsley	NN
63	,	,	,
64	and	and	CC
65	mix	mix	VB
66	into	into	IN
67	sauerkraut	sauerkraut	NN
68	mixture	mixture	NN
69	.	.	.
70	Refrigerate	refrigerate	VB
71	for	for	IN
72	hour	hour	NN
73	.	.	.
74	Heat	heat	VB
75	oil	oil	NN
76	in	in	IN
77	deep-fryer	deep-fryer	NN
78	to	to	IN
79	degrees	degree	NNS
80	F	f	NN
81	(	(	-LRB-
82	degrees	degree	NNS
83	C	c	NN
84	)	)	-RRB-
85	.	.	.
86	Shape	shape	NN
87	sauerkraut	sauerkraut	NN
88	mixture	mixture	NN
89	into	into	IN
90	/	/	HYPH
91	inch	inch	NN
92	balls	ball	NNS
93	.	.	.
94	Coat	coat	VB
95	balls	ball	NNS
96	with	with	IN
97	flour	flour	NN
98	.	.	.
99	In	in	IN
100	a	a	DT
101	small	small	JJ
102	bowl	bowl	NN
103	,	,	,
104	whisk	whisk	VB
105	together	together	RB
106	egg	egg	NN
107	and	and	CC
108	milk	milk	NN
109	.	.	.
110	Dip	dip	VB
111	floured	floured	JJ
112	balls	ball	NNS
113	in	in	IN
114	egg	egg	NN
115	mixture	mixture	NN
116	and	and	CC
117	then	then	RB
118	roll	roll	VB
119	in	in	IN
120	remaining	remain	VBG
121	bread	bread	NN
122	crumbs	crumb	NNS
123	.	.	.
124	Deep	deep	JJ
125	fry	fry	NN
126	in	in	IN
127	batches	batch	NNS
128	for	for	IN
129	to	to	IN
130	minutes	minute	NNS
131	or	or	CC
132	until	until	IN
133	golden	golden	JJ
134	brown	brown	NN
135	.	.	.
136	Drain	drain	VB
137	on	on	RP
